topic_id,phi_sum,theta_sum,h,top_terms,label,0,1
0,10333.86200624523,21.71916372730957,8.53,elizabeth darcy bennet jane sister sisters aunt father,0: elizabeth darcy bennet jane sister sisters aunt father,45.81144,9.41086
1,437.8455806830233,1.6911505669690463,7.84,mother door replied room does afraid servant half,1: mother door replied room does afraid servant half,0.021384515,40.35017
2,709.375116107733,1.2784661408000424,8.55,thing letter nobody knightley assure fine emma believe,2: thing letter nobody knightley assure fine emma believe,31.02637,73.75209
3,16676.47157547604,25.4310344690563,8.95,emma knightley thing woodhouse jane body hartfield friend,3: emma knightley thing woodhouse jane body hartfield friend,-60.314983,16.606031
4,10530.100139142376,27.573353449031465,8.42,sir our father years woman life children girl,4: sir our father years woman life children girl,4.3257895,-43.708817
5,4534.198128185391,10.711336204812842,8.17,elinor dashwood edward marianne mother john colonel thing,5: elinor dashwood edward marianne mother john colonel thing,-32.300682,-53.39315
6,8857.157069566689,15.571362810861359,8.52,elinor marianne edward sister dashwood mother thing saw,6: elinor marianne edward sister dashwood mother thing saw,-37.838337,49.076836
7,539.2160520758075,1.2419335659151787,8.37,elinor marianne rest colonel where others child walk,7: elinor marianne rest colonel where others child walk,28.911636,-20.041887
8,62.00000004667104,0.9916267548236795,9.38,already avoid useful daughter curiosity life ill supposing,8: already avoid useful daughter curiosity life ill supposing,-8.611733,75.609764
9,42648.93338062368,68.77256698515669,9.34,room look down half party evening go sir,9: room look down half party evening go sir,-46.99741,-18.70015
10,1272.7145384758055,9.892538300461505,7.01,susan de mother letter town street sir london,10: susan de mother letter town street sir london,-10.744974,-15.956884
11,9401.792890151424,19.031943920409688,8.3,us oh go came thing colonel going heard,11: us oh go came thing colonel going heard,8.438771,-79.23948
12,4466.399838119551,9.446784767914854,8.2,catherine general henry room father daughter home heart,12: catherine general henry room father daughter home heart,77.24357,-49.666874
13,4648.10056984125,8.504100454924458,8.35,catherine go brother friend oh yes off anything,13: catherine go brother friend oh yes off anything,33.436607,38.305943
14,686.4612565645342,1.425426385370679,7.61,love replied oh cousin sweet cottage colonel letter,14: love replied oh cousin sweet cottage colonel letter,40.27132,-53.96242
15,1039.8293125403566,2.9225319646429457,7.87,sir evening colonel friend elizabeth sensible return daughter,15: sir evening colonel friend elizabeth sensible return daughter,-22.983822,14.33379
16,16984.55828588686,26.942820450724696,8.97,fanny sir william everything aunt sister anything uncle,16: fanny sir william everything aunt sister anything uncle,67.58604,52.481606
17,35132.44157350663,77.04917269579107,9.33,letter myself heart love believe happiness present affection,17: letter myself heart love believe happiness present affection,11.825568,8.537373
18,604.0000002427507,2.0611345219667747,8.44,bennet elizabeth us three gone home ladies catherine,18: bennet elizabeth us three gone home ladies catherine,66.630295,-16.424929
19,1237.5426864806077,1.7415518630572218,8.37,jane woodhouse emma knightley oh our william thing,19: jane woodhouse emma knightley oh our william thing,83.14047,16.85394
