topic_id,phi_sum,theta_sum,h,top_terms_rel,top_terms,label
0,9853.250594732592,20.65780410392219,8.46,darcy elizabeth bennet jane civility younger de pride,elizabeth darcy bennet jane sister sisters aunt father,0: darcy elizabeth bennet jane civility younger de pride
1,485.45569491822323,2.832901963395443,7.28,servant door further stand thrown cold instantly sooner,mother room door replied does afraid father servant,1: servant door further stand thrown cold instantly sooner
2,792.2008505257214,1.5390039913825844,8.26,hundred lately assistance john increase makes nobody ourselves,john thing nobody letter knightley half assure hundred,2: hundred lately assistance john increase makes nobody ourselves
3,15680.852249137359,23.99468036994661,8.91,emma knightley hartfield woodhouse body fortunate thing superior,emma knightley thing woodhouse jane body hartfield friend,3: emma knightley hartfield woodhouse body fortunate thing superior
4,10021.961540058579,26.032680924208343,8.32,youth england years death age plain ones lived,sir our father years woman life children girl,4: youth england years death age plain ones lived
5,4513.987302888121,10.48512382697587,7.96,dashwood edward cottage john elinor marianne thousand hundred,elinor edward dashwood marianne mother john colonel thing,5: dashwood edward cottage john elinor marianne thousand hundred
6,8082.327120293354,14.111080000251562,8.42,marianne elinor edward dashwood affair declared inquiry exclaimed,elinor marianne sister edward dashwood mother thing saw,6: marianne elinor edward dashwood affair declared inquiry exclaimed
7,610.4183132307733,1.8567177011251244,7.91,tears reading plan friendly entered observation latter led,others elinor entered marianne rest each tears colonel,7: tears reading plan friendly entered observation latter led
8,10.0,0.1347823847171177,9.97,moreover moved sincerely chief happily undoubtedly gratified asking,among suffered dislike happen dreadful declared elegant important,8: moreover moved sincerely chief happily undoubtedly gratified asking
9,42134.31394927834,67.7077949790643,9.33,play dress dance listening seat rooms admired standing,room look down half party evening go moment,9: play dress dance listening seat rooms admired standing
10,1548.403864070216,11.402111113726688,7.07,susan de street yours town london thoroughly prevent,susan de mother letter town street london sir,10: susan de street yours town london thoroughly prevent
11,9250.935807362694,18.321802610513583,8.25,news write send says colonel comes seems us,us go oh came thing colonel going tell,11: news write send says colonel comes seems us
12,5097.809506380335,10.957125371928814,8.13,further henry journey bed catherine alarm general suddenly,catherine general henry father room daughter home left,12: further henry journey bed catherine alarm general suddenly
13,4436.477262821272,8.000314808090303,8.23,catherine brothers street odd anybody parting brother bath,catherine go brother friend oh yes off world,13: catherine brothers street odd anybody parting brother bath
14,1100.4814307970146,2.3574850180795477,7.1,hundred sweet enter charming fortunate love beautiful cottage,love oh replied us why sweet assure hundred,14: hundred sweet enter charming fortunate love beautiful cottage
15,1952.9586883005254,5.661807939521208,7.73,highly tolerable marriage sensible elegant possibility severe education,marriage friend daughter sir sensible life manners evening,15: highly tolerable marriage sensible elegant possibility severe education
16,16914.48459320311,27.124226063979055,8.94,fanny william uncle useful aunt everything parsonage cousin,fanny sir william everything aunt sister anything uncle,16: fanny william uncle useful aunt everything parsonage cousin
17,35110.72830618994,75.50398675115068,9.32,sentiments attached engagement supposing language conduct explanation consent,letter myself heart believe love happiness affection our,17: sentiments attached engagement supposing language conduct explanation consent
18,627.9378102867682,2.5920347432436355,8.09,fortnight laughed news mary paid bennet observing girls,bennet mary elizabeth gone us three home girls,18: fortnight laughed news mary paid bennet observing girls
19,1778.0151154873322,2.72653533477737,8.08,woodhouse jane says letters hartfield thank news plain,jane woodhouse emma oh knightley our thing hartfield,19: woodhouse jane says letters hartfield thank news plain
