topic_id,phi_sum,theta_sum,h,top_terms_rel,top_terms,label
0,182.34055324029404,55.13095360197025,8.6,fanny william parsonage susan ball aunt park everything,fanny william aunt everything anything half speak uncle,0: fanny william parsonage susan ball aunt park everything
1,124.64572541224166,93.022732120666,8.56,emma knightley hartfield woodhouse body superior knows approbation,emma knightley thing woodhouse hartfield body friend really,1: emma knightley hartfield woodhouse body superior knows approbation
2,101.75995962415502,76.29350911872402,8.27,marianne elinor dashwood colonel inquiry likewise confidence earnest,elinor marianne sister dashwood mother colonel saw town,2: marianne elinor dashwood colonel inquiry likewise confidence earnest
3,96.78293265072719,62.844547658855525,8.22,bennet elizabeth daughter daughters de wholly news terms,elizabeth bennet mother daughter father jane married cried,3: bennet elizabeth daughter daughters de wholly news terms
4,86.27888483309155,75.58854213629964,8.51,catherine further odd explanation bath de strange brothers,catherine friend brother general henry bath heart anything,4: catherine further odd explanation bath de strange brothers
5,130.61947559609942,47.26175472928215,8.5,our thus exclaimed melancholy greatly informed ourselves death,our us edward thus father mother instantly replied,5: our thus exclaimed melancholy greatly informed ourselves death
6,73.32520631313245,88.19693127691316,8.12,sir observed wishing pay passing gentleman uncle moreover,sir uncle opinion subject william feel sister gentleman,6: sir observed wishing pay passing gentleman uncle moreover
7,170.5061582904609,76.47269648257793,8.56,room bed door tea alarm rooms struck moved,room moment door look general evening half passed,7: room bed door tea alarm rooms struck moved
8,117.83337535272244,85.21887170948,8.84,mary strength seat drew near fellow bringing forgotten,mary sister home down back together cried off,8: mary strength seat drew near fellow bringing forgotten
9,104.28430434965377,55.391338190295485,8.15,jane extremely begin says thank telling lately declare,jane heard oh colonel us hear going often,9: jane extremely begin says thank telling lately declare
10,133.11866579943438,87.10973980889128,8.78,myself indifferent deserve dreadful engagement miserable mine misery,myself heart believe moment against woman engagement speak,10: myself indifferent deserve dreadful engagement miserable mine misery
11,221.42653310934386,78.62498637133193,8.96,merit age education england temper lived income succeeded,years home woman general henry mother people son,11: merit age education england temper lived income succeeded
12,127.49587125542047,61.54834309570286,8.21,go scheme walk parting getting walking weather going,go going party morning walk off gone home,12: go scheme walk parting getting walking weather going
13,119.30075448607846,72.41718847400612,8.41,letter susan write written wrote writing letters london,letter poor sister susan write london father gone,13: letter susan write written wrote writing letters london
14,125.26227726584573,74.86066137760501,8.8,bath acquainted introduced motive proof beg value acquaintance,friend bath father acquaintance present known colonel ought,14: bath acquainted introduced motive proof beg value acquaintance
15,118.04360457767714,50.7458390965269,8.49,play act part work suit table difficulties henry,part play henry us act anything table look,15: play act part work suit table difficulties henry
16,93.2805099906297,71.47229944948135,8.36,love sweet enter estate offer girl capable nay,love heart happiness girl affection replied happy cousin,16: love sweet enter estate offer girl capable nay
17,107.34890046491859,54.50526595688773,8.7,edward dashwood elinor engagement living otherwise thousand communication,edward elinor dashwood thing engagement mother really marianne,17: edward dashwood elinor engagement living otherwise thousand communication
18,111.88216769156801,71.72475706680108,8.69,darcy elizabeth civility pride expression liked de compliment,darcy elizabeth sister friend manner saw replied often,18: darcy elizabeth civility pride expression liked de compliment
19,133.18019598973424,85.5299465922592,8.21,plain beautiful john ah makes pretty assure yes,thing oh us yes room john people does,19: plain beautiful john ah makes pretty assure yes
