book_id,author,book
158,austen,Emma
946,austen,Lady Susan
1212,austen,Love And Freindship And Other Early Works
141,austen,Mansfield Park
121,austen,Northanger Abbey
105,austen,Persuasion
1342,austen,Pride and Prejudice
161,austen,Sense and Sensibility
15422,melville,Israel Potter
13720,melville,"Mardi: and A Voyage Thither, Vol. I (of 2)"
13721,melville,"Mardi: and A Voyage Thither, Vol. II (of 2)"
2701,melville,Moby Dick; or The Whale
4045,melville,Omoo: Adventures in the South Seas
34970,melville,Pierre; or The Ambiguities
8118,melville,Redburn. His First Voyage
53861,melville,The Apple - Tree Table and Other Sketches
21816,melville,The Confidence - Man
15859,melville,The Piazza Tales
1900,melville,Typee
10712,melville,White Jacket
