chap_num,para_num,sent_num,token_num,pos,term_str,term_id,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,bing_negative,bing_positive,bing_sentiment,syu_sentiment,gi_sentiment,nrc_polarity
1,1,0,0,NNP,lady,19813,,,,,,,,,,,,,,,,
1,1,0,1,NNP,susan,33981,,,,,,,,,,,,,,,,
1,1,0,2,NNP,vernon,38003,,,,,,,,,,,,,,,,
1,1,0,3,NNP,to,35246,,,,,,,,,,,,,,,,
1,1,0,4,NNP,mr,22811,,,,,,,,,,,,,,,,
1,1,0,5,NNP,vernon,38003,,,,,,,,,,,,,,,,
1,2,0,0,NNP,langford,19910,,,,,,,,,,,,,,,,
1,2,0,2,NNP,dec,8917,,,,,,,,,,,,,,,,
1,3,0,0,PRP$,my,22997,,,,,,,,,,,,,,,,
1,3,0,1,NNP,dear,8875,,,,,,,,,,,,,,0.5,1.0,
1,3,0,2,NNP,brother,4576,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,0.4,,1.0
1,3,0,6,PRP,i,17254,,,,,,,,,,,,,,,,
1,3,0,7,MD,can,5062,,,,,,,,,,,,,,,,
1,3,0,8,RB,no,23438,,,,,,,,,,,,,,,,
1,3,0,9,RB,longer,20720,,,,,,,,,,,,,,,,
1,3,0,10,VB,refuse,28496,,,,,,,,,,,1.0,0.0,-1.0,-0.75,-1.0,
1,3,0,11,PRP,myself,23004,,,,,,,,,,,,,,,,
1,3,0,12,DT,the,34777,,,,,,,,,,,,,,,,
1,3,0,13,NN,pleasure,26113,,,,,,,,,,,0.0,1.0,1.0,0.5,1.0,
1,3,0,14,IN,of,23891,,,,,,,,,,,,,,,,
1,3,0,15,VBG,profiting,27107,,,,,,,,,,,,,,,,
1,3,0,16,IN,by,4872,,,,,,,,,,,,,,,,
1,3,0,17,PRP$,your,39674,,,,,,,,,,,,,,,,
1,3,0,18,NN,kind,19585,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,0.5,1.0,1.0
