chap_num,para_num,sent_num,token_num,pos,term_str,term_id,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,bing_negative,bing_positive,bing_sentiment,syu_sentiment,gi_sentiment,nrc_polarity
1,0,0,0,WRB,how,17000,,,,,,,,,,,,,,,,
1,0,0,1,RB,often,23935,,,,,,,,,,,,,,,,
1,0,0,3,IN,in,17701,,,,,,,,,,,,,,,,
1,0,0,4,NN,answer,1537,,,,,,,,,,,,,,,,
1,0,0,5,TO,to,35246,,,,,,,,,,,,,,,,
1,0,0,6,PRP$,my,22997,,,,,,,,,,,,,,,,
1,0,0,7,JJ,repeated,28827,,,,,,,,,,,,,,,,
1,0,0,8,NNS,intreaties,18723,,,,,,,,,,,,,,,,
1,0,0,9,IN,that,34766,,,,,,,,,,,,,,,,
1,0,0,10,PRP,you,39664,,,,,,,,,,,,,,,,
1,0,0,11,MD,would,39443,,,,,,,,,,,,,,,,
1,0,0,12,VB,give,14964,,,,,,,,,,,,,,,1.0,
1,0,0,13,PRP$,my,22997,,,,,,,,,,,,,,,,
1,0,0,14,NNP,daughter,8807,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,0.6,,1.0
1,0,0,15,DT,a,199,,,,,,,,,,,,,,,,
1,0,0,16,JJ,regular,28548,,,,,,,,,,,,,,,,
1,0,0,17,NN,detail,9583,,,,,,,,,,,,,,,,
1,0,0,18,IN,of,23891,,,,,,,,,,,,,,,,
1,0,0,19,DT,the,34777,,,,,,,,,,,,,,,,
1,0,0,20,NNP,misfortunes,22257,,,,,,,,,,,,,,-1.0,,
1,0,0,21,CC,and,1426,,,,,,,,,,,,,,,,
1,0,0,22,NNP,adventures,743,,,,,,,,,,,,,,0.25,,
1,0,0,23,IN,of,23891,,,,,,,,,,,,,,,,
1,0,0,24,PRP$,your,39674,,,,,,,,,,,,,,,,
1,0,0,25,NNP,life,20400,,,,,,,,,,,,,,,,
1,0,0,27,VBP,have,16154,,,,,,,,,,,,,,,,
1,0,0,28,PRP,you,39664,,,,,,,,,,,,,,,,
1,0,0,29,VBD,said,29958,,,,,,,,,,,,,,,,
1,0,0,31,UH,no,23438,,,,,,,,,,,,,,,,
1,0,0,33,PRP$,my,22997,,,,,,,,,,,,,,,,
1,0,0,34,NN,freind,14260,,,,,,,,,,,,,,,,
1,0,0,35,RB,never,23331,,,,,,,,,,,,,,,,
1,0,0,36,MD,will,39118,,,,,,,,,,,,,,,,
1,0,0,37,PRP,i,17254,,,,,,,,,,,,,,,,
1,0,0,38,VB,comply,6981,,,,,,,,,,,,,,,,
1,0,0,39,IN,with,39243,,,,,,,,,,,,,,,,
1,0,0,40,PRP$,your,39674,,,,,,,,,,,,,,,,
1,0,0,41,NN,request,28943,,,,,,,,,,,,,,,,
1,0,0,42,NN,till,35122,,,,,,,,,,,,,,,,
1,0,0,43,PRP,i,17254,,,,,,,,,,,,,,,,
1,0,0,44,MD,may,21673,,,,,,,,,,,,,,,,
1,0,0,45,VB,be,3053,,,,,,,,,,,,,,,,
1,0,0,46,RB,no,23438,,,,,,,,,,,,,,,,
1,0,0,47,RBR,longer,20720,,,,,,,,,,,,,,,,
