chap_num,para_num,sent_num,token_num,pos,term_str,term_id,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,bing_negative,bing_positive,bing_sentiment,syu_sentiment,gi_sentiment,nrc_polarity
1,1,0,0,DT,no,23438,,,,,,,,,,,,,,,,
1,1,0,1,NN,one,24018,,,,,,,,,,,,,,,,
1,1,0,2,WP,who,39043,,,,,,,,,,,,,,,,
1,1,0,3,VBD,had,15791,,,,,,,,,,,,,,,,
1,1,0,4,RB,ever,12322,,,,,,,,,,,,,,,,
1,1,0,5,VBN,seen,30684,,,,,,,,,,,,,,,,
1,1,0,6,NNP,catherine,5443,,,,,,,,,,,,,,,,
1,1,0,7,NNP,morland,22649,,,,,,,,,,,,,,,,
1,1,0,8,IN,in,17701,,,,,,,,,,,,,,,,
1,1,0,9,PRP$,her,16435,,,,,,,,,,,,,,,,
1,1,0,10,NN,infancy,18103,,,,,,,,,,,,,,,,
1,1,0,11,MD,would,39443,,,,,,,,,,,,,,,,
1,1,0,12,VB,have,16154,,,,,,,,,,,,,,,,
1,1,0,13,VBN,supposed,33882,,,,,,,,,,,,,,,,
1,1,0,14,PRP$,her,16435,,,,,,,,,,,,,,,,
1,1,0,15,NN,born,4117,,,,,,,,,,,,,,,,
1,1,0,16,TO,to,35246,,,,,,,,,,,,,,,,
1,1,0,17,VB,be,3053,,,,,,,,,,,,,,,,
1,1,0,18,DT,an,1376,,,,,,,,,,,,,,,,
1,1,0,19,NN,heroine,16504,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0
1,1,1,0,PRP$,her,16435,,,,,,,,,,,,,,,,
1,1,1,1,NN,situation,31608,,,,,,,,,,,,,,,,
1,1,1,2,IN,in,17701,,,,,,,,,,,,,,,,
1,1,1,3,NN,life,20400,,,,,,,,,,,,,,,,
1,1,1,5,DT,the,34777,,,,,,,,,,,,,,,,
1,1,1,6,NN,character,5714,,,,,,,,,,,,,,,,
1,1,1,7,IN,of,23891,,,,,,,,,,,,,,,,
1,1,1,8,PRP$,her,16435,,,,,,,,,,,,,,,,
1,1,1,9,NN,father,13044,,,,,,,,,,,,,,,,
1,1,1,10,CC,and,1426,,,,,,,,,,,,,,,,
1,1,1,11,NN,mother,22718,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,,,,,,0.0
1,1,1,13,PRP$,her,16435,,,,,,,,,,,,,,,,
1,1,1,14,JJ,own,24542,,,,,,,,,,,,,,,,
1,1,1,15,NN,person,25503,,,,,,,,,,,,,,,,
1,1,1,16,CC,and,1426,,,,,,,,,,,,,,,,
1,1,1,17,NN,disposition,10267,,,,,,,,,,,,,,,,
1,1,1,19,VBD,were,38825,,,,,,,,,,,,,,,,
1,1,1,20,DT,all,1114,,,,,,,,,,,,,,,,
1,1,1,21,RB,equally,12078,,,,,,,,,,,,,,0.6,,
1,1,1,22,IN,against,870,,,,,,,,,,,,,,,-1.0,
1,1,1,23,PRP,her,16435,,,,,,,,,,,,,,,,
1,1,2,0,PRP$,her,16435,,,,,,,,,,,,,,,,
1,1,2,1,NN,father,13044,,,,,,,,,,,,,,,,
1,1,2,2,VBD,was,38616,,,,,,,,,,,,,,,,
1,1,2,3,DT,a,199,,,,,,,,,,,,,,,,
1,1,2,4,NN,clergyman,6344,,,,,,,,,,,,,,,,
1,1,2,6,IN,without,39261,,,,,,,,,,,,,,,,
1,1,2,7,VBG,being,3282,,,,,,,,,,,,,,,,
1,1,2,8,VBN,neglected,23242,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,-0.75,,-1.0
1,1,2,10,CC,or,24118,,,,,,,,,,,,,,,,
1,1,2,11,JJ,poor,26387,,,,,,,,,,,1.0,0.0,-1.0,-0.5,-1.0,
1,1,2,13,CC,and,1426,,,,,,,,,,,,,,,,
1,1,2,14,DT,a,199,,,,,,,,,,,,,,,,
1,1,2,15,RB,very,38030,,,,,,,,,,,,,,,,
1,1,2,16,JJ,respectable,29056,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.75,1.0,1.0
1,1,2,17,NN,man,21255,,,,,,,,,,,,,,,,
1,1,2,19,IN,though,34936,,,,,,,,,,,,,,,,
1,1,2,20,PRP$,his,16652,,,,,,,,,,,,,,,,
1,1,2,21,NN,name,23051,,,,,,,,,,,,,,,,
1,1,2,22,VBD,was,38616,,,,,,,,,,,,,,,,
