chap_num,para_num,sent_num,token_num,pos,term_str,term_id,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,bing_negative,bing_positive,bing_sentiment,syu_sentiment,gi_sentiment,nrc_polarity
1,1,0,0,NNP,sir,31573,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,0.25,,1.0
1,1,0,1,NNP,walter,38510,,,,,,,,,,,,,,,,
1,1,0,2,NNP,elliot,11468,,,,,,,,,,,,,,,,
1,1,0,4,IN,of,23891,,,,,,,,,,,,,,,,
1,1,0,5,NNP,kellynch,19515,,,,,,,,,,,,,,,,
1,1,0,6,NNP,hall,15839,,,,,,,,,,,,,,,,
1,1,0,8,IN,in,17701,,,,,,,,,,,,,,,,
1,1,0,9,NNP,somersetshire,32219,,,,,,,,,,,,,,,,
1,1,0,11,VBD,was,38616,,,,,,,,,,,,,,,,
1,1,0,12,DT,a,199,,,,,,,,,,,,,,,,
1,1,0,13,NN,man,21255,,,,,,,,,,,,,,,,
1,1,0,14,WP,who,39043,,,,,,,,,,,,,,,,
1,1,0,16,IN,for,13907,,,,,,,,,,,,,,,,
1,1,0,17,PRP$,his,16652,,,,,,,,,,,,,,,,
1,1,0,18,JJ,own,24542,,,,,,,,,,,,,,,,
1,1,0,19,NN,amusement,1371,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,0.5,1.0,1.0
1,1,0,21,RB,never,23331,,,,,,,,,,,,,,,,
1,1,0,22,VBD,took,35361,,,,,,,,,,,,,,,,
1,1,0,23,RP,up,37599,,,,,,,,,,,,,,,,
1,1,0,24,DT,any,1614,,,,,,,,,,,,,,,,
1,1,0,25,NN,book,4064,,,,,,,,,,,,,,,,
1,1,0,26,CC,but,4830,,,,,,,,,,,,,,,,
1,1,0,27,DT,the,34777,,,,,,,,,,,,,,,,
1,1,0,28,NNP,baronetage,2923,,,,,,,,,,,,,,,,
