chap_num,para_num,sent_num,token_num,pos,term_str,term_id,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,bing_negative,bing_positive,bing_sentiment,syu_sentiment,gi_sentiment,nrc_polarity
1,0,1,0,DT,the,24127,,,,,,,,,,,,,,,,
1,0,1,1,NNP,young,27354,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,0.4,,1.0
1,0,1,2,NNP,adventurers,399,,,,,,,,,,,,,,,,
1,0,1,3,NNP,ltd,14406,,,,,,,,,,,,,,,,
1,1,0,0,JJ,tommy,24529,,,,,,,,,,,,,,,,
1,1,0,1,JJ,old,16509,,,,,,,,,,,,,,,,
1,1,0,2,NN,thing,24202,,,,,,,,,,,,,,,,
1,2,0,0,JJ,tuppence,25026,,,,,,,,,,,,,,,,
1,2,0,1,JJ,old,16509,,,,,,,,,,,,,,,,
1,2,0,2,NN,bean,2000,,,,,,,,,,,,,,,,
1,3,0,0,DT,the,24127,,,,,,,,,,,,,,,,
1,3,0,1,CD,two,25109,,,,,,,,,,,,,,,,
1,3,0,2,JJ,young,27354,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,0.4,,1.0
1,3,0,3,NNS,people,17404,,,,,,,,,,,,,,,,
1,3,0,4,VBN,greeted,10778,,,,,,,,,,,,,,0.8,,
1,3,0,5,DT,each,7648,,,,,,,,,,,,,,,,
1,3,0,6,JJ,other,16713,,,,,,,,,,,,,,,,
1,3,0,7,NN,affectionately,448,,,,,,,,,,,,,,,,
1,3,0,8,CC,and,862,,,,,,,,,,,,,,,,
1,3,0,9,RB,momentarily,15475,,,,,,,,,,,,,,,,
1,3,0,10,VBD,blocked,2537,,,,,,,,,,,,,,-0.4,,
1,3,0,11,DT,the,24127,,,,,,,,,,,,,,,,
1,3,0,12,NNP,dover,7360,,,,,,,,,,,,,,,,
1,3,0,13,NNP,street,23135,,,,,,,,,,,,,,,,
1,3,0,14,NNP,tube,24991,,,,,,,,,,,,,,,,
1,3,0,15,NN,exit,8704,,,,,,,,,,,,,,,-1.0,
1,3,0,16,IN,in,12267,,,,,,,,,,,,,,,,
1,3,0,17,VBG,doing,7254,,,,,,,,,,,,,,,,
1,3,0,18,NN,so,22241,,,,,,,,,,,,,,,,
1,3,1,0,DT,the,24127,,,,,,,,,,,,,,,,
1,3,1,1,JJ,adjective,316,,,,,,,,,,,,,,,,
1,3,1,2,NN,old,16509,,,,,,,,,,,,,,,,
1,3,1,3,VBD,was,26573,,,,,,,,,,,,,,,,
1,3,1,4,NN,misleading,15346,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,,-1.0
1,3,2,0,PRP$,their,24133,,,,,,,,,,,,,,,,
