chap_num,para_num,sent_num,token_num,pos,term_str,term_id,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,bing_negative,bing_positive,bing_sentiment,syu_sentiment,gi_sentiment,nrc_polarity
1,0,1,0,PRP,i,11947,,,,,,,,,,,,,,,,
1,0,1,1,VBP,go,10556,,,,,,,,,,,,,,,,
1,0,1,2,JJ,to,24470,,,,,,,,,,,,,,,,
1,0,1,3,NNP,styles,23263,,,,,,,,,,,,,,,,
1,1,0,0,DT,the,24127,,,,,,,,,,,,,,,,
1,1,0,1,JJ,intense,12863,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,-1.0,-0.25,,0.0
1,1,0,2,NN,interest,12885,,,,,,,,,,,,,,0.5,1.0,
1,1,0,3,VBN,aroused,1265,,,,,,,,,,,,,,0.8,,
1,1,0,4,IN,in,12267,,,,,,,,,,,,,,,,
1,1,0,5,DT,the,24127,,,,,,,,,,,,,,,,
1,1,0,6,NN,public,18878,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,1.0
1,1,0,7,IN,by,3237,,,,,,,,,,,,,,,,
1,1,0,8,WP,what,26769,,,,,,,,,,,,,,,,
1,1,0,9,VBD,was,26573,,,,,,,,,,,,,,,,
1,1,0,10,VBN,known,13589,,,,,,,,,,,,,,,,
1,1,0,11,IN,at,1471,,,,,,,,,,,,,,,,
1,1,0,12,DT,the,24127,,,,,,,,,,,,,,,,
1,1,0,13,NN,time,24409,,,,,,,,,,,,,,,,
1,1,0,14,IN,as,1328,,,,,,,,,,,,,,,,
1,1,0,15,JJ,the,24127,,,,,,,,,,,,,,,,
1,1,0,16,NNP,styles,23263,,,,,,,,,,,,,,,,
1,1,0,17,NNP,case,3534,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,-1.0
1,1,0,18,VBZ,has,11196,,,,,,,,,,,,,,,,
1,1,0,19,RB,now,16267,,,,,,,,,,,,,,,,
1,1,0,20,RB,somewhat,22359,,,,,,,,,,,,,,,,
1,1,0,21,JJ,subsided,23311,,,,,,,,,,,,,,,,
1,1,1,0,NNP,nevertheless,16064,,,,,,,,,,,,,,,,
1,1,1,1,IN,in,12267,,,,,,,,,,,,,,,,
1,1,1,2,NN,view,26223,,,,,,,,,,,,,,,,
