chap_num,para_num,sent_num,token_num,pos,term_str,term_id,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,bing_negative,bing_positive,bing_sentiment,syu_sentiment,gi_sentiment,nrc_polarity
1,0,1,0,NNP,mr,15714,,,,,,,,,,,,,,,,
1,0,1,1,NNP,sherlock,21567,,,,,,,,,,,,,,,,
1,0,1,2,NNP,holmes,11629,,,,,,,,,,,,,,,,
1,1,0,0,NNP,mr,15714,,,,,,,,,,,,,,,,
1,1,0,1,NNP,sherlock,21567,,,,,,,,,,,,,,,,
1,1,0,2,NNP,holmes,11629,,,,,,,,,,,,,,,,
1,1,0,3,WP,who,26883,,,,,,,,,,,,,,,,
1,1,0,4,VBD,was,26573,,,,,,,,,,,,,,,,
1,1,0,5,RB,usually,25935,,,,,,,,,,,,,,,,
1,1,0,6,RB,very,26168,,,,,,,,,,,,,,,,
1,1,0,7,RB,late,13763,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,-0.25,,-1.0
1,1,0,8,IN,in,12267,,,,,,,,,,,,,,,,
1,1,0,9,DT,the,24127,,,,,,,,,,,,,,,,
1,1,0,10,NN,mornings,15602,,,,,,,,,,,,,,,,
1,1,0,11,VBP,save,20923,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,0.5,1.0,1.0
1,1,0,12,IN,upon,25875,,,,,,,,,,,,,,,,
1,1,0,13,DT,those,24256,,,,,,,,,,,,,,,,
1,1,0,14,RB,not,16213,,,,,,,,,,,,,,,,
1,1,0,15,JJ,infrequent,12607,,,,,,,,,,,,,,,,
1,1,0,16,NNS,occasions,16408,,,,,,,,,,,,,,,,
1,1,0,17,WRB,when,26787,,,,,,,,,,,,,,,,
1,1,0,18,PRP,he,11265,,,,,,,,,,,,,,,,
1,1,0,19,VBD,was,26573,,,,,,,,,,,,,,,,
1,1,0,20,RB,up,25864,,,,,,,,,,,,,,,,
1,1,0,21,DT,all,654,,,,,,,,,,,,,,,,
1,1,0,22,NN,night,16108,,,,,,,,,,,,,,,,
1,1,0,23,VBD,was,26573,,,,,,,,,,,,,,,,
1,1,0,24,VBN,seated,21203,,,,,,,,,,,,,,,,
1,1,0,25,IN,at,1471,,,,,,,,,,,,,,,,
1,1,0,26,DT,the,24127,,,,,,,,,,,,,,,,
1,1,0,27,NN,breakfast,2888,,,,,,,,,,,,,,0.6,,
1,1,0,28,NN,table,23774,,,,,,,,,,,,,,,,
1,1,1,0,PRP,i,11947,,,,,,,,,,,,,,,,
1,1,1,1,VBD,stood,23037,,,,,,,,,,,,,,,1.0,
1,1,1,2,IN,upon,25875,,,,,,,,,,,,,,,,
1,1,1,3,DT,the,24127,,,,,,,,,,,,,,,,
1,1,1,4,NN,hearth,11307,,,,,,,,,,,,,,0.6,,
1,1,1,6,NN,rug,20641,,,,,,,,,,,,,,,,
1,1,1,7,CC,and,862,,,,,,,,,,,,,,,,
1,1,1,8,VBD,picked,17711,,,,,,,,,,,,,,,,
1,1,1,9,RP,up,25864,,,,,,,,,,,,,,,,
1,1,1,10,DT,the,24127,,,,,,,,,,,,,,,,
1,1,1,11,NN,stick,22958,,,,,,,,,,,,,,,-1.0,
1,1,1,12,WDT,which,26811,,,,,,,,,,,,,,,,
1,1,1,13,PRP$,our,16724,,,,,,,,,,,,,,,,
1,1,1,14,NN,visitor,26317,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,0.25,,1.0
1,1,1,15,VBD,had,11006,,,,,,,,,,,,,,,,
1,1,1,16,VBN,left,13914,,,,,,,,,,,,,,,,
1,1,1,17,IN,behind,2132,,,,,,,,,,,,,,,,
1,1,1,18,PRP,him,11527,,,,,,,,,,,,,,,,
1,1,1,19,DT,the,24127,,,,,,,,,,,,,,,,
1,1,1,20,NN,night,16108,,,,,,,,,,,,,,,,
1,1,1,21,NN,before,2090,,,,,,,,,,,,,,,,
1,1,2,0,PRP,it,13157,,,,,,,,,,,,,,,,
1,1,2,1,VBD,was,26573,,,,,,,,,,,,,,,,
1,1,2,2,DT,a,0,,,,,,,,,,,,,,,,
1,1,2,3,JJ,fine,9339,,,,,,,,,,,0.0,1.0,1.0,0.25,1.0,
1,1,2,4,JJ,thick,24185,,,,,,,,,,,,,,,,
1,1,2,5,NN,piece,17726,,,,,,,,,,,,,,,-1.0,
1,1,2,6,IN,of,16459,,,,,,,,,,,,,,,,
1,1,2,7,NN,wood,27114,,,,,,,,,,,,,,,,
1,1,2,8,JJ,bulbous,3101,,,,,,,,,,,,,,,,
1,1,2,10,NN,headed,11269,,,,,,,,,,,,,,,,
1,1,2,11,IN,of,16459,,,,,,,,,,,,,,,,
1,1,2,12,DT,the,24127,,,,,,,,,,,,,,,,
1,1,2,13,NN,sort,22413,,,,,,,,,,,,,,,-1.0,
1,1,2,14,WDT,which,26811,,,,,,,,,,,,,,,,
1,1,2,15,VBZ,is,13133,,,,,,,,,,,,,,,,
1,1,2,16,VBN,known,13589,,,,,,,,,,,,,,,,
1,1,2,17,IN,as,1328,,,,,,,,,,,,,,,,
1,1,2,18,DT,a,0,,,,,,,,,,,,,,,,
1,1,2,19,NNP,penang,17356,,,,,,,,,,,,,,,,
1,1,2,20,NN,lawyer,13831,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,-0.25,,-1.0
1,1,2,21,NNP,just,13417,,,,,,,,,,,,,,,1.0,
1,1,2,22,IN,under,25339,,,,,,,,,,,,,,,,
1,1,2,23,DT,the,24127,,,,,,,,,,,,,,,,
1,1,2,24,NN,head,11266,,,,,,,,,,,,,,,,
1,1,2,25,VBD,was,26573,,,,,,,,,,,,,,,,
1,1,2,26,DT,a,0,,,,,,,,,,,,,,,,
1,1,2,27,JJ,broad,2994,,,,,,,,,,,,,,,,
1,1,2,28,NN,silver,21832,,,,,,,,,,,,,,,,
1,1,2,29,VBP,band,1805,,,,,,,,,,,,,,,,
1,1,2,30,RB,nearly,15958,,,,,,,,,,,,,,,,
1,1,2,31,DT,an,830,,,,,,,,,,,,,,,,
1,1,2,32,NN,inch,12311,,,,,,,,,,,,,,,,
1,1,2,33,NN,across,251,,,,,,,,,,,,,,,,
1,1,3,0,NN,to,24470,,,,,,,,,,,,,,,,
1,1,3,1,NNP,james,13207,,,,,,,,,,,,,,,,
1,1,3,2,NNP,mortimer,15629,,,,,,,,,,,,,,,,
1,1,3,3,NNP,mrcs,15715,,,,,,,,,,,,,,,,
1,1,3,4,IN,from,10024,,,,,,,,,,,,,,,,
1,1,3,5,PRP$,his,11561,,,,,,,,,,,,,,,,
1,1,3,6,NNS,friends,9990,,,,,,,,,,,,,,,,
1,1,3,7,IN,of,16459,,,,,,,,,,,,,,,,
1,1,3,8,DT,the,24127,,,,,,,,,,,,,,,,
1,1,3,9,NNP,cch,3634,,,,,,,,,,,,,,,,
1,1,3,10,VBD,was,26573,,,,,,,,,,,,,,,,
1,1,3,11,VBN,engraved,8161,,,,,,,,,,,,,,,,
1,1,3,12,IN,upon,25875,,,,,,,,,,,,,,,,
1,1,3,13,NN,it,13157,,,,,,,,,,,,,,,,
1,1,3,14,IN,with,27045,,,,,,,,,,,,,,,,
1,1,3,15,DT,the,24127,,,,,,,,,,,,,,,,
1,1,3,16,NN,date,5976,,,,,,,,,,,,,,,,
1,1,3,18,PRP,it,13157,,,,,,,,,,,,,,,,
1,1,3,19,VBD,was,26573,,,,,,,,,,,,,,,,
1,1,3,20,RB,just,13417,,,,,,,,,,,,,,,1.0,
1,1,3,21,JJ,such,23354,,,,,,,,,,,,,,,,
1,1,3,22,DT,a,0,,,,,,,,,,,,,,,,
1,1,3,23,NN,stick,22958,,,,,,,,,,,,,,,-1.0,
1,1,3,24,IN,as,1328,,,,,,,,,,,,,,,,
1,1,3,25,DT,the,24127,,,,,,,,,,,,,,,,
1,1,3,26,JJ,old,16509,,,,,,,,,,,,,,,,
1,1,3,28,VBN,fashioned,9062,,,,,,,,,,,,,,,,
1,1,3,29,NN,family,9002,,,,,,,,,,,,,,,,
1,1,3,30,NN,practitioner,18278,,,,,,,,,,,,,,,,
1,1,3,31,VBN,used,25919,,,,,,,,,,,,,,,,
1,1,3,32,TO,to,24470,,,,,,,,,,,,,,,,
1,1,3,33,VB,carry,3513,,,,,,,,,,,,,,,,
1,1,3,36,NN,dignified,6712,,,,,,,,,,,0.0,1.0,1.0,0.5,1.0,
1,1,3,37,NN,solid,22326,,,,,,,,,,,0.0,1.0,1.0,0.25,,
1,1,3,38,CC,and,862,,,,,,,,,,,,,,,,
1,1,3,39,NN,reassuring,19408,,,,,,,,,,,,,,1.0,,
1,2,0,0,NN,well,26723,,,,,,,,,,,0.0,1.0,1.0,0.8,1.0,
1,2,0,1,NNP,watson,26616,,,,,,,,,,,,,,,,
1,2,0,2,WP,what,26769,,,,,,,,,,,,,,,,
1,2,0,3,VBP,do,7216,,,,,,,,,,,,,,,,
1,2,0,4,PRP,you,27350,,,,,,,,,,,,,,,,
1,2,0,5,VB,make,14617,,,,,,,,,,,,,,,1.0,
1,2,0,6,IN,of,16459,,,,,,,,,,,,,,,,
1,2,0,7,NN,it,13157,,,,,,,,,,,,,,,,
