chap_num,para_num,sent_num,token_num,pos,term_str,term_id,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,bing_negative,bing_positive,bing_sentiment,syu_sentiment,gi_sentiment,nrc_polarity
1,0,1,0,NNP,mr,15714,,,,,,,,,,,,,,,,
1,0,1,1,NNP,sherlock,21567,,,,,,,,,,,,,,,,
1,0,1,2,NNP,holmes,11629,,,,,,,,,,,,,,,,
1,1,0,0,IN,in,12267,,,,,,,,,,,,,,,,
1,1,0,1,DT,the,24127,,,,,,,,,,,,,,,,
1,1,0,2,NN,year,27300,,,,,,,,,,,,,,,,
1,1,0,4,PRP,i,11947,,,,,,,,,,,,,,,,
1,1,0,5,VBD,took,24549,,,,,,,,,,,,,,,,
1,1,0,6,PRP$,my,15843,,,,,,,,,,,,,,,,
1,1,0,7,NN,degree,6241,,,,,,,,,,,,,,,,
1,1,0,8,IN,of,16459,,,,,,,,,,,,,,,,
1,1,0,9,NNP,doctor,7228,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,1.0
1,1,0,10,IN,of,16459,,,,,,,,,,,,,,,,
1,1,0,11,NNP,medicine,14982,,,,,,,,,,,,,,,,
1,1,0,12,IN,of,16459,,,,,,,,,,,,,,,,
1,1,0,13,DT,the,24127,,,,,,,,,,,,,,,,
1,1,0,14,NNP,university,25576,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.6,,1.0
1,1,0,15,IN,of,16459,,,,,,,,,,,,,,,,
1,1,0,16,NNP,london,14275,,,,,,,,,,,,,,,,
1,1,0,17,CC,and,862,,,,,,,,,,,,,,,,
1,1,0,18,VBD,proceeded,18571,,,,,,,,,,,,,,,,
1,1,0,19,TO,to,24470,,,,,,,,,,,,,,,,
1,1,0,20,NNP,netley,16053,,,,,,,,,,,,,,,,
1,1,0,21,TO,to,24470,,,,,,,,,,,,,,,,
1,1,0,22,VB,go,10556,,,,,,,,,,,,,,,,
1,1,0,23,IN,through,24315,,,,,,,,,,,,,,,,
1,1,0,24,DT,the,24127,,,,,,,,,,,,,,,,
1,1,0,25,NN,course,5441,,,,,,,,,,,,,,,,
1,1,0,26,VBD,prescribed,18420,,,,,,,,,,,,,,,,
1,1,0,27,IN,for,9681,,,,,,,,,,,,,,,,
1,1,0,28,NNS,surgeons,23567,,,,,,,,,,,,,,,,
1,1,0,29,IN,in,12267,,,,,,,,,,,,,,,,
1,1,0,30,DT,the,24127,,,,,,,,,,,,,,,,
1,1,0,31,NN,army,1258,,,,,,,,,,,,,,,,
1,1,1,0,VBG,having,11245,,,,,,,,,,,,,,,,
1,1,1,1,VBN,completed,4680,,,,,,,,,,,,,,,,
1,1,1,2,PRP$,my,15843,,,,,,,,,,,,,,,,
1,1,1,3,NNS,studies,23225,,,,,,,,,,,,,,,,
1,1,1,4,VBP,there,24157,,,,,,,,,,,,,,,,
1,1,1,5,PRP,i,11947,,,,,,,,,,,,,,,,
1,1,1,6,VBD,was,26573,,,,,,,,,,,,,,,,
1,1,1,7,RB,duly,7568,,,,,,,,,,,,,,,,
1,1,1,8,VBN,attached,1494,,,,,,,,,,,,,,,,
1,1,1,9,TO,to,24470,,,,,,,,,,,,,,,,
1,1,1,10,DT,the,24127,,,,,,,,,,,,,,,,
1,1,1,11,NNP,fifth,9294,,,,,,,,,,,,,,,,
1,1,1,12,NNP,northumberland,16195,,,,,,,,,,,,,,,,
1,1,1,13,NNP,fusiliers,10138,,,,,,,,,,,,,,,,
1,1,1,14,IN,as,1328,,,,,,,,,,,,,,,,
1,1,1,15,NNP,assistant,1417,,,,,,,,,,,,,,,1.0,
1,1,1,16,NNP,surgeon,23566,,,,,,,,,,,,,,,,
1,1,2,0,DT,the,24127,,,,,,,,,,,,,,,,
1,1,2,1,NN,regiment,19672,,,,,,,,,,,,,,,,
1,1,2,2,VBD,was,26573,,,,,,,,,,,,,,,,
1,1,2,3,VBN,stationed,22845,,,,,,,,,,,,,,,,
1,1,2,4,IN,in,12267,,,,,,,,,,,,,,,,
1,1,2,5,NNP,india,12439,,,,,,,,,,,,,,,,
1,1,2,6,IN,at,1471,,,,,,,,,,,,,,,,
1,1,2,7,DT,the,24127,,,,,,,,,,,,,,,,
1,1,2,8,NN,time,24409,,,,,,,,,,,,,,,,
1,1,2,9,CC,and,862,,,,,,,,,,,,,,,,
1,1,2,10,IN,before,2090,,,,,,,,,,,,,,,,
1,1,2,11,PRP,i,11947,,,,,,,,,,,,,,,,
1,1,2,12,MD,could,5385,,,,,,,,,,,,,,,,
1,1,2,13,VB,join,13310,,,,,,,,,,,,,,0.25,1.0,
1,1,2,14,VB,it,13157,,,,,,,,,,,,,,,,
1,1,2,15,DT,the,24127,,,,,,,,,,,,,,,,
1,1,2,16,JJ,second,21217,,,,,,,,,,,,,,,,
1,1,2,17,NNP,afghan,482,,,,,,,,,,,,,,,,
1,1,2,18,NN,war,26522,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,-0.5,-1.0,-1.0
1,1,2,19,VBD,had,11006,,,,,,,,,,,,,,,,
1,1,2,20,VBN,broken,3012,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,-0.75,,-1.0
1,1,2,21,RP,out,16730,,,,,,,,,,,,,,,,
1,1,3,0,IN,on,16539,,,,,,,,,,,,,,,,
1,1,3,1,NN,landing,13690,,,,,,,,,,,,,,,,
1,1,3,2,IN,at,1471,,,,,,,,,,,,,,,,
1,1,3,3,NNP,bombay,2687,,,,,,,,,,,,,,,,
1,1,3,4,PRP,i,11947,,,,,,,,,,,,,,,,
1,1,3,5,VBD,learned,13877,,,,,,,,,,,,,,,,
1,1,3,6,IN,that,24121,,,,,,,,,,,,,,,,
1,1,3,7,PRP$,my,15843,,,,,,,,,,,,,,,,
1,1,3,8,NN,corps,5317,,,,,,,,,,,,,,,,
1,1,3,9,VBD,had,11006,,,,,,,,,,,,,,,,
1,1,3,10,VBN,advanced,388,,,,,,,,,,,0.0,1.0,1.0,0.75,,
1,1,3,11,IN,through,24315,,,,,,,,,,,,,,,,
1,1,3,12,DT,the,24127,,,,,,,,,,,,,,,,
1,1,3,13,NN,passes,17174,,,,,,,,,,,,,,,,
1,1,3,14,CC,and,862,,,,,,,,,,,,,,,,
1,1,3,15,VBD,was,26573,,,,,,,,,,,,,,,,
1,1,3,16,RB,already,723,,,,,,,,,,,,,,,,
1,1,3,17,JJ,deep,6168,,,,,,,,,,,,,,,,
1,1,3,18,IN,in,12267,,,,,,,,,,,,,,,,
1,1,3,19,DT,the,24127,,,,,,,,,,,,,,,,
1,1,3,20,NN,enemys,8124,,,,,,,,,,,,,,,,
1,1,3,21,NN,country,5422,,,,,,,,,,,,,,,,
1,1,4,0,PRP,i,11947,,,,,,,,,,,,,,,,
1,1,4,1,VBP,followed,9634,,,,,,,,,,,,,,,,
1,1,4,2,JJ,however,11785,,,,,,,,,,,,,,,,
1,1,4,3,IN,with,27045,,,,,,,,,,,,,,,,
1,1,4,4,JJ,many,14733,,,,,,,,,,,,,,,,
1,1,4,5,JJ,other,16713,,,,,,,,,,,,,,,,
1,1,4,6,NNS,officers,16480,,,,,,,,,,,,,,,,
1,1,4,7,WP,who,26883,,,,,,,,,,,,,,,,
1,1,4,8,VBD,were,26736,,,,,,,,,,,,,,,,
1,1,4,9,IN,in,12267,,,,,,,,,,,,,,,,
1,1,4,10,DT,the,24127,,,,,,,,,,,,,,,,
1,1,4,11,JJ,same,20822,,,,,,,,,,,,,,,,
1,1,4,12,NN,situation,21916,,,,,,,,,,,,,,,,
1,1,4,13,IN,as,1328,,,,,,,,,,,,,,,,
1,1,4,14,NN,myself,15849,,,,,,,,,,,,,,,,
1,1,4,15,CC,and,862,,,,,,,,,,,,,,,,
1,1,4,16,VBN,succeeded,23337,,,,,,,,,,,0.0,1.0,1.0,0.5,,
1,1,4,17,IN,in,12267,,,,,,,,,,,,,,,,
1,1,4,18,VBG,reaching,19342,,,,,,,,,,,,,,,,
1,1,4,19,NNP,candahar,3357,,,,,,,,,,,,,,,,
1,1,4,20,IN,in,12267,,,,,,,,,,,,,,,,
1,1,4,21,NN,safety,20760,,,,,,,,,,,,,,0.8,1.0,
1,1,4,22,WRB,where,26791,,,,,,,,,,,,,,,,
1,1,4,23,PRP,i,11947,,,,,,,,,,,,,,,,
1,1,4,24,VBD,found,9845,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,0.6,,1.0
1,1,4,25,PRP$,my,15843,,,,,,,,,,,,,,,,
1,1,4,26,NN,regiment,19672,,,,,,,,,,,,,,,,
1,1,4,27,CC,and,862,,,,,,,,,,,,,,,,
1,1,4,28,IN,at,1471,,,,,,,,,,,,,,,,
1,1,4,29,RB,once,16540,,,,,,,,,,,,,,,,
1,1,4,30,VBN,entered,8254,,,,,,,,,,,,,,,,
1,1,4,31,IN,upon,25875,,,,,,,,,,,,,,,,
1,1,4,32,PRP$,my,15843,,,,,,,,,,,,,,,,
1,1,4,33,JJ,new,16066,,,,,,,,,,,,,,0.8,,
1,1,4,34,NN,duties,7617,,,,,,,,,,,,,,,,
