chap_num,para_num,sent_num,token_num,pos,term_str,term_id,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,bing_negative,bing_positive,bing_sentiment,syu_sentiment,gi_sentiment,nrc_polarity
1,0,0,0,DT,the,24127,,,,,,,,,,,,,,,,
1,0,0,1,NNP,science,21035,,,,,,,,,,,,,,,,
1,0,0,2,IN,of,16459,,,,,,,,,,,,,,,,
1,0,0,3,NNP,deduction,6160,,,,,,,,,,,,,,,,
1,1,0,0,NNP,sherlock,21567,,,,,,,,,,,,,,,,
1,1,0,1,NNP,holmes,11629,,,,,,,,,,,,,,,,
1,1,0,2,VBD,took,24549,,,,,,,,,,,,,,,,
1,1,0,3,PRP$,his,11561,,,,,,,,,,,,,,,,
1,1,0,4,NN,bottle,2755,,,,,,,,,,,,,,,,
1,1,0,5,IN,from,10024,,,,,,,,,,,,,,,,
1,1,0,6,DT,the,24127,,,,,,,,,,,,,,,,
1,1,0,7,NN,corner,5305,,,,,,,,,,,,,,,,
1,1,0,8,IN,of,16459,,,,,,,,,,,,,,,,
1,1,0,9,DT,the,24127,,,,,,,,,,,,,,,,
1,1,0,10,NN,mantel,14720,,,,,,,,,,,,,,,,
1,1,0,12,NN,piece,17726,,,,,,,,,,,,,,,-1.0,
1,1,0,13,CC,and,862,,,,,,,,,,,,,,,,
1,1,0,14,PRP$,his,11561,,,,,,,,,,,,,,,,
1,1,0,15,JJ,hypodermic,11939,,,,,,,,,,,,,,,,
1,1,0,16,NN,syringe,23763,,,,,,,,,,,,,,,,
1,1,0,17,IN,from,10024,,,,,,,,,,,,,,,,
1,1,0,18,PRP$,its,13166,,,,,,,,,,,,,,,,
1,1,0,19,NN,neat,15960,,,,,,,,,,,0.0,1.0,1.0,0.8,1.0,
1,1,0,20,NN,morocco,15603,,,,,,,,,,,,,,,,
1,1,0,21,NN,case,3534,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,-1.0
1,1,1,0,IN,with,27045,,,,,,,,,,,,,,,,
1,1,1,1,PRP$,his,11561,,,,,,,,,,,,,,,,
1,1,1,2,JJ,long,14283,,,,,,,,,,,,,,,,
1,1,1,3,NN,white,26864,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,0.4,,1.0
1,1,1,4,JJ,nervous,16042,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-0.75,-1.0,-1.0
1,1,1,5,NNS,fingers,9349,,,,,,,,,,,,,,,,
1,1,1,6,PRP,he,11265,,,,,,,,,,,,,,,,
1,1,1,7,VBD,adjusted,328,,,,,,,,,,,,,,,,
1,1,1,8,DT,the,24127,,,,,,,,,,,,,,,,
1,1,1,9,JJ,delicate,6270,,,,,,,,,,,0.0,1.0,1.0,0.6,1.0,
1,1,1,10,NN,needle,15994,,,,,,,,,,,,,,,-1.0,
1,1,1,11,CC,and,862,,,,,,,,,,,,,,,,
1,1,1,12,VBD,rolled,20489,,,,,,,,,,,,,,,,
1,1,1,13,RP,back,1728,,,,,,,,,,,,,,,1.0,
1,1,1,14,PRP$,his,11561,,,,,,,,,,,,,,,,
1,1,1,15,NN,left,13914,,,,,,,,,,,,,,,,
1,1,1,16,NN,shirt,21610,,,,,,,,,,,,,,,,
1,1,1,18,NN,cuff,5732,,,,,,,,,,,,,,,,
1,1,2,0,IN,for,9681,,,,,,,,,,,,,,,,
1,1,2,1,DT,some,22346,,,,,,,,,,,,,,,,
1,1,2,2,JJ,little,14185,,,,,,,,,,,,,,,,
1,1,2,3,NN,time,24409,,,,,,,,,,,,,,,,
1,1,2,4,PRP$,his,11561,,,,,,,,,,,,,,,,
1,1,2,5,NNS,eyes,8878,,,,,,,,,,,,,,,,
1,1,2,6,VBN,rested,20120,,,,,,,,,,,,,,,,
1,1,2,7,RB,thoughtfully,24261,,,,,,,,,,,0.0,1.0,1.0,1.0,,
1,1,2,8,IN,upon,25875,,,,,,,,,,,,,,,,
1,1,2,9,DT,the,24127,,,,,,,,,,,,,,,,
1,1,2,10,NN,sinewy,21870,,,,,,,,,,,,,,,,
1,1,2,11,NN,forearm,9706,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
1,1,2,12,CC,and,862,,,,,,,,,,,,,,,,
1,1,2,13,VB,wrist,27238,,,,,,,,,,,,,,,,
1,1,2,14,DT,all,654,,,,,,,,,,,,,,,,
1,1,2,15,VBN,dotted,7339,,,,,,,,,,,,,,,,
1,1,2,16,CC,and,862,,,,,,,,,,,,,,,,
1,1,2,17,VBN,scarred,20992,,,,,,,,,,,1.0,0.0,-1.0,-1.0,,
1,1,2,18,IN,with,27045,,,,,,,,,,,,,,,,
1,1,2,19,JJ,innumerable,12698,,,,,,,,,,,,,,,,
1,1,2,20,NN,puncture,18927,,,,,,,,,,,,,,,,
