chap_num,para_num,sent_num,token_num,pos,term_str,term_id,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,bing_negative,bing_positive,bing_sentiment,syu_sentiment,gi_sentiment,nrc_polarity
1,0,0,0,DT,the,34777,,,,,,,,,,,,,,,,
1,0,0,1,NNP,birthplace,3662,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,-1.0
1,0,0,2,NNP,of,23891,,,,,,,,,,,,,,,,
1,0,0,3,NNP,israel,18985,,,,,,,,,,,,,,,,
1,1,0,0,DT,the,34777,,,,,,,,,,,,,,,,
1,1,0,1,NN,traveller,35702,,,,,,,,,,,,,,,,
1,1,0,2,WP,who,39043,,,,,,,,,,,,,,,,
1,1,0,3,IN,at,2284,,,,,,,,,,,,,,,,
1,1,0,4,DT,the,34777,,,,,,,,,,,,,,,,
1,1,0,5,JJ,present,26819,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,,,,0.25,,1.0
1,1,0,6,NN,day,8835,,,,,,,,,,,,,,,,
1,1,0,7,VBZ,is,18959,,,,,,,,,,,,,,,,
1,1,0,8,JJ,content,7509,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,0.6,1.0,1.0
1,1,0,9,TO,to,35246,,,,,,,,,,,,,,,,
1,1,0,10,VB,travel,35696,,,,,,,,,,,,,,,1.0,
1,1,0,11,IN,in,17701,,,,,,,,,,,,,,,,
1,1,0,12,DT,the,34777,,,,,,,,,,,,,,,,
1,1,0,13,JJ,good,15189,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.75,1.0,1.0
1,1,0,14,JJ,old,23962,,,,,,,,,,,,,,,,
1,1,0,15,JJ,asiatic,2125,,,,,,,,,,,,,,,,
1,1,0,16,NN,style,33474,,,,,,,,,,,,,,,,
1,1,0,18,CC,neither,23275,,,,,,,,,,,,,,,,
1,1,0,19,VBN,rushed,29848,,,,,,,,,,,,,,,,
1,1,0,20,IN,along,1200,,,,,,,,,,,,,,,,
1,1,0,21,IN,by,4872,,,,,,,,,,,,,,,,
1,1,0,22,DT,a,199,,,,,,,,,,,,,,,,
1,1,0,23,JJ,locomotive,20658,,,,,,,,,,,,,,,,
1,1,0,25,CC,nor,23511,,,,,,,,,,,,,,,,
1,1,0,26,VBN,dragged,10748,,,,,,,,,,,1.0,0.0,-1.0,-0.5,,
1,1,0,27,IN,by,4872,,,,,,,,,,,,,,,,
1,1,0,28,DT,a,199,,,,,,,,,,,,,,,,
1,1,0,29,NN,stage,32822,,,,,,,,,,,,,,,,
1,1,0,31,NN,coach,6493,,,,,,,,,,,,,,,,
1,1,0,33,WP,who,39043,,,,,,,,,,,,,,,,
1,1,0,34,VBZ,is,18959,,,,,,,,,,,,,,,,
1,1,0,35,JJ,willing,39132,,,,,,,,,,,0.0,1.0,1.0,0.8,1.0,
1,1,0,36,TO,to,35246,,,,,,,,,,,,,,,,
1,1,0,37,VB,enjoy,11855,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.75,1.0,1.0
1,1,0,38,NNS,hospitalities,16937,,,,,,,,,,,,,,,,
1,1,0,39,IN,at,2284,,,,,,,,,,,,,,,,
