chap_num,para_num,sent_num,token_num,pos,term_str,term_id,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,bing_negative,bing_positive,bing_sentiment,syu_sentiment,gi_sentiment,nrc_polarity
1,0,0,0,JJ,or,24118,,,,,,,,,,,,,,,,
1,0,0,1,NNP,original,24194,,,,,,,,,,,,,,,,
1,0,0,2,NNP,spiritual,32581,,,,,,,,,,,0.0,1.0,1.0,0.1,,
1,0,0,3,NNP,manifestations,21306,,,,,,,,,,,,,,,,
1,1,0,0,WRB,when,38905,,,,,,,,,,,,,,,,
1,1,0,1,PRP,i,17254,,,,,,,,,,,,,,,,
1,1,0,2,RB,first,13477,,,,,,,,,,,,,,,,
1,1,0,3,VBD,saw,30212,,,,,,,,,,,,,,,,
1,1,0,4,DT,the,34777,,,,,,,,,,,,,,,,
1,1,0,5,NN,table,34235,,,,,,,,,,,,,,,,
1,1,0,7,NN,dingy,9874,,,,,,,,,,,,,,,,
1,1,0,8,CC,and,1426,,,,,,,,,,,,,,,,
1,1,0,9,NN,dusty,11086,,,,,,,,,,,1.0,0.0,-1.0,-0.6,,
1,1,0,11,IN,in,17701,,,,,,,,,,,,,,,,
1,1,0,12,DT,the,34777,,,,,,,,,,,,,,,,
1,1,0,13,JJS,furthest,14498,,,,,,,,,,,,,,,,
1,1,0,14,NN,corner,7786,,,,,,,,,,,,,,,,
1,1,0,15,IN,of,23891,,,,,,,,,,,,,,,,
1,1,0,16,DT,the,34777,,,,,,,,,,,,,,,,
1,1,0,17,JJ,old,23962,,,,,,,,,,,,,,,,
1,1,0,18,NN,hopper,16875,,,,,,,,,,,,,,,,
1,1,0,20,JJ,shaped,31028,,,,,,,,,,,,,,,,
1,1,0,21,NN,garret,14673,,,,,,,,,,,,,,,,
1,1,0,23,CC,and,1426,,,,,,,,,,,,,,,,
1,1,0,24,VBD,set,30893,,,,,,,,,,,,,,,,
1,1,0,25,RP,out,24286,,,,,,,,,,,,,,,,
1,1,0,26,IN,with,39243,,,,,,,,,,,,,,,,
1,1,0,27,NNS,broken,4551,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,-0.75,,-1.0
1,1,0,29,VB,be,3053,,,,,,,,,,,,,,,,
1,1,0,31,VBN,crusted,8406,,,,,,,,,,,,,,,,
1,1,0,32,JJ,old,23962,,,,,,,,,,,,,,,,
1,1,0,33,NN,purple,27553,,,,,,,,,,,,,,,,
1,1,0,34,NNS,vials,38068,,,,,,,,,,,,,,,,
1,1,0,35,CC,and,1426,,,,,,,,,,,,,,,,
1,1,0,36,NNS,flasks,13577,,,,,,,,,,,,,,,,
1,1,0,38,CC,and,1426,,,,,,,,,,,,,,,,
1,1,0,39,DT,a,199,,,,,,,,,,,,,,,,
1,1,0,40,RB,ghostly,14891,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,-0.5,,-1.0
1,1,0,42,VBD,dismantled,10183,,,,,,,,,,,,,,-0.6,,
1,1,0,43,JJ,old,23962,,,,,,,,,,,,,,,,
1,1,0,44,NN,quarto,27702,,,,,,,,,,,,,,,,
1,1,0,46,PRP,it,18993,,,,,,,,,,,,,,,,
1,1,0,47,VBD,seemed,30675,,,,,,,,,,,,,,,,
1,1,0,48,RB,just,19418,,,,,,,,,,,,,,,1.0,
