chap_num,para_num,sent_num,token_num,pos,term_str,term_id,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,bing_negative,bing_positive,bing_sentiment,syu_sentiment,gi_sentiment,nrc_polarity
1,0,0,0,DT,the,24127,,,,,,,,,,,,,,,,
1,0,0,1,NNP,mystery,15854,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,-0.4,,0.0
1,0,0,2,NNP,of,16459,,,,,,,,,,,,,,,,
1,0,0,3,NNP,marie,14765,,,,,,,,,,,,,,,,
1,0,0,4,NNP,roget,20481,,,,,,,,,,,,,,,,
1,1,0,0,DT,a,0,,,,,,,,,,,,,,,,
1,1,0,1,NNP,sequel,21368,,,,,,,,,,,,,,,,
1,1,0,2,NNP,to,24470,,,,,,,,,,,,,,,,
1,1,0,3,NNP,the,24127,,,,,,,,,,,,,,,,
1,1,0,4,NNP,murders,15775,,,,,,,,,,,,,,-1.0,,
1,1,0,5,NNP,in,12267,,,,,,,,,,,,,,,,
1,1,0,6,NNP,the,24127,,,,,,,,,,,,,,,,
1,1,0,7,NNP,rue,20631,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,-0.5,-1.0,-1.0
1,1,0,8,NNP,morgue,15591,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,-0.8,,-1.0
1,2,0,0,NNP,es,8404,,,,,,,,,,,,,,,,
1,2,0,1,NN,giebt,10402,,,,,,,,,,,,,,,,
1,2,0,2,NN,eine,7823,,,,,,,,,,,,,,,,
1,2,0,3,NNP,reihe,19706,,,,,,,,,,,,,,,,
1,2,0,4,NN,idealischer,11962,,,,,,,,,,,,,,,,
1,2,0,5,NNP,begebenheiten,2099,,,,,,,,,,,,,,,,
1,2,0,6,NN,die,6677,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,-0.75,,-1.0
1,2,0,7,NN,der,6432,,,,,,,,,,,,,,,,
1,2,0,8,NNP,wirklichkeit,27021,,,,,,,,,,,,,,,,
1,2,0,9,NN,parallel,17059,,,,,,,,,,,,,,,,
1,2,0,10,NN,lauft,13784,,,,,,,,,,,,,,,,
1,2,1,0,NNP,selten,21309,,,,,,,,,,,,,,,,
1,2,1,1,VBN,fallen,8979,,,,,,,,,,,1.0,0.0,-1.0,-0.5,,
1,2,1,2,NN,sie,21771,,,,,,,,,,,,,,,,
1,2,1,3,NN,zusammen,27391,,,,,,,,,,,,,,,,
1,2,2,0,NNP,menschen,15074,,,,,,,,,,,,,,,,
1,2,2,1,NN,und,25328,,,,,,,,,,,,,,,,
1,2,2,2,NNP,zufalle,27388,,,,,,,,,,,,,,,,
1,2,2,3,NN,modifieiren,15448,,,,,,,,,,,,,,,,
1,2,2,4,NN,gewohulich,10381,,,,,,,,,,,,,,,,
1,2,2,5,VBP,die,6677,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,-0.75,,-1.0
1,2,2,6,NN,idealische,11961,,,,,,,,,,,,,,,,
1,2,2,7,NNP,begebenheit,2098,,,,,,,,,,,,,,,,
1,2,2,8,RB,so,22241,,,,,,,,,,,,,,,,
1,2,2,9,RB,dass,5974,,,,,,,,,,,,,,,,
1,2,2,10,JJ,sie,21771,,,,,,,,,,,,,,,,
1,2,2,11,NNS,unvollkommen,25835,,,,,,,,,,,,,,,,
1,2,2,12,VBP,erscheint,8400,,,,,,,,,,,,,,,,
1,2,2,13,JJ,und,25328,,,,,,,,,,,,,,,,
1,2,2,14,NN,ihre,12007,,,,,,,,,,,,,,,,
1,2,2,15,NNP,folgen,9625,,,,,,,,,,,,,,,,
1,2,2,16,NNS,gleichfalls,10485,,,,,,,,,,,,,,,,
1,2,2,17,NNS,unvollkommen,25835,,,,,,,,,,,,,,,,
