chap_num,para_num,sent_num,token_num,pos,term_str,term_id,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,bing_negative,bing_positive,bing_sentiment,syu_sentiment,gi_sentiment,nrc_polarity
1,0,0,0,DT,the,24127,,,,,,,,,,,,,,,,
1,0,0,1,NNP,pit,17818,,,,,,,,,,,,,,,,
1,0,0,2,CC,and,862,,,,,,,,,,,,,,,,
1,0,0,3,NNP,the,24127,,,,,,,,,,,,,,,,
1,0,0,4,NNP,pendulum,17364,,,,,,,,,,,,,,,,
1,1,0,0,NNP,impia,12164,,,,,,,,,,,,,,,,
1,1,0,1,NN,tortorum,24596,,,,,,,,,,,,,,,,
1,1,0,2,NN,longos,14294,,,,,,,,,,,,,,,,
1,1,0,3,JJ,hic,11491,,,,,,,,,,,,,,,,
1,1,0,4,NN,turba,25028,,,,,,,,,,,,,,,,
1,1,0,5,NNS,furores,10121,,,,,,,,,,,,,,,,
1,1,0,6,NNP,sanguinis,20858,,,,,,,,,,,,,,,,
1,1,0,7,NN,innocui,12695,,,,,,,,,,,,,,,,
1,1,0,8,NN,non,16168,,,,,,,,,,,,,,,,
1,1,0,9,NN,satiata,20889,,,,,,,,,,,,,,,,
1,1,0,10,NN,aluit,746,,,,,,,,,,,,,,,,
1,1,1,0,NNP,sospite,22419,,,,,,,,,,,,,,,,
1,1,1,1,JJ,nunc,16291,,,,,,,,,,,,,,,,
1,1,1,2,NN,patria,17226,,,,,,,,,,,,,,,,
1,1,1,3,NN,fracto,9867,,,,,,,,,,,,,,,,
1,1,1,4,JJ,nunc,16291,,,,,,,,,,,,,,,,
1,1,1,5,NN,funeris,10101,,,,,,,,,,,,,,,,
1,1,1,6,NN,antro,1002,,,,,,,,,,,,,,,,
1,1,1,7,NNP,mors,15612,,,,,,,,,,,,,,,,
1,1,1,8,JJ,ubi,25143,,,,,,,,,,,,,,,,
1,1,1,9,NN,dira,6771,,,,,,,,,,,,,,,,
1,1,1,10,NN,fuit,10063,,,,,,,,,,,,,,,,
1,1,1,11,NN,vita,26324,,,,,,,,,,,,,,,,
1,1,1,12,NN,salusque,20808,,,,,,,,,,,,,,,,
1,1,1,13,NN,patent,17204,,,,,,,,,,,,,,0.25,,
1,2,0,0,NN,quatrain,19054,,,,,,,,,,,,,,,,
1,2,0,1,VBD,composed,4711,,,,,,,,,,,,,,0.8,,
1,2,0,2,IN,for,9681,,,,,,,,,,,,,,,,
1,2,0,3,DT,the,24127,,,,,,,,,,,,,,,,
1,2,0,4,NNS,gates,10272,,,,,,,,,,,,,,,,
1,2,0,5,IN,of,16459,,,,,,,,,,,,,,,,
1,2,0,6,DT,a,0,,,,,,,,,,,,,,,,
1,2,0,7,NN,market,14777,,,,,,,,,,,,,,,,
1,2,0,8,TO,to,24470,,,,,,,,,,,,,,,,
1,2,0,9,VB,be,1987,,,,,,,,,,,,,,,,
1,2,0,10,VBN,erected,8383,,,,,,,,,,,,,,,,
1,2,0,11,IN,upon,25875,,,,,,,,,,,,,,,,
1,2,0,12,DT,the,24127,,,,,,,,,,,,,,,,
1,2,0,13,NN,site,21910,,,,,,,,,,,,,,,,
1,2,0,14,IN,of,16459,,,,,,,,,,,,,,,,
1,2,0,15,DT,the,24127,,,,,,,,,,,,,,,,
1,2,0,16,NNP,jacobin,13197,,,,,,,,,,,,,,,,
1,2,0,17,NNP,club,4334,,,,,,,,,,,,,,,-1.0,
1,2,0,18,NNP,house,11760,,,,,,,,,,,,,,,,
1,2,0,19,IN,at,1471,,,,,,,,,,,,,,,,
1,2,0,20,NNP,paris,17093,,,,,,,,,,,,,,,,
1,3,0,0,PRP,i,11947,,,,,,,,,,,,,,,,
1,3,0,1,VBP,was,26573,,,,,,,,,,,,,,,,
1,3,0,2,JJ,sick,21752,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,-0.75,-1.0,-1.0
1,3,0,5,JJ,sick,21752,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,-0.75,-1.0,-1.0
1,3,0,6,JJ,unto,25807,,,,,,,,,,,,,,,,
1,3,0,7,NN,death,6040,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,-0.75,-1.0,-1.0
1,3,0,8,IN,with,27045,,,,,,,,,,,,,,,,
1,3,0,9,DT,that,24121,,,,,,,,,,,,,,,,
1,3,0,10,JJ,long,14283,,,,,,,,,,,,,,,,
1,3,0,11,NN,agony,550,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,-0.5,-1.0,-1.0
1,3,0,12,CC,and,862,,,,,,,,,,,,,,,,
1,3,0,13,WRB,when,26787,,,,,,,,,,,,,,,,
1,3,0,14,PRP,they,24178,,,,,,,,,,,,,,,,
1,3,0,15,IN,at,1471,,,,,,,,,,,,,,,,
1,3,0,16,NN,length,13949,,,,,,,,,,,,,,,,
1,3,0,17,NN,unbound,25242,,,,,,,,,,,0.0,1.0,1.0,-0.25,1.0,
1,3,0,18,NN,me,14935,,,,,,,,,,,,,,,,
1,3,0,19,CC,and,862,,,,,,,,,,,,,,,,
1,3,0,20,PRP,i,11947,,,,,,,,,,,,,,,,
1,3,0,21,VBD,was,26573,,,,,,,,,,,,,,,,
1,3,0,22,VBN,permitted,17483,,,,,,,,,,,,,,,,
1,3,0,23,TO,to,24470,,,,,,,,,,,,,,,,
1,3,0,24,VB,sit,21909,,,,,,,,,,,,,,,,
1,3,0,25,PRP,i,11947,,,,,,,,,,,,,,,,
1,3,0,26,VBD,felt,9193,,,,,,,,,,,,,,,,
1,3,0,27,IN,that,24121,,,,,,,,,,,,,,,,
1,3,0,28,PRP$,my,15843,,,,,,,,,,,,,,,,
1,3,0,29,NNS,senses,21334,,,,,,,,,,,,,,,,
1,3,0,30,VBD,were,26736,,,,,,,,,,,,,,,,
1,3,0,31,VBG,leaving,13895,,,,,,,,,,,,,,,,
1,3,0,32,NN,me,14935,,,,,,,,,,,,,,,,
1,3,1,0,DT,the,24127,,,,,,,,,,,,,,,,
1,3,1,1,NN,sentence,21344,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,-1.0,-1.0
1,3,1,4,DT,the,24127,,,,,,,,,,,,,,,,
1,3,1,5,JJ,dread,7428,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-0.75,-1.0,-1.0
1,3,1,6,NN,sentence,21344,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,-1.0,-1.0
1,3,1,7,IN,of,16459,,,,,,,,,,,,,,,,
1,3,1,8,NN,death,6040,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,-0.75,-1.0,-1.0
1,3,1,11,VBD,was,26573,,,,,,,,,,,,,,,,
1,3,1,12,DT,the,24127,,,,,,,,,,,,,,,,
1,3,1,13,JJ,last,13755,,,,,,,,,,,,,,,,
1,3,1,14,IN,of,16459,,,,,,,,,,,,,,,,
1,3,1,15,JJ,distinct,7126,,,,,,,,,,,,,,,1.0,
1,3,1,16,NN,accentuation,130,,,,,,,,,,,,,,,,
1,3,1,17,WDT,which,26811,,,,,,,,,,,,,,,,
1,3,1,18,VBD,reached,19340,,,,,,,,,,,,,,,,
1,3,1,19,PRP$,my,15843,,,,,,,,,,,,,,,,
1,3,1,20,NN,ears,7671,,,,,,,,,,,,,,,,
1,3,2,0,IN,after,497,,,,,,,,,,,,,,,,
1,3,2,1,PDT,that,24121,,,,,,,,,,,,,,,,
1,3,2,2,DT,the,24127,,,,,,,,,,,,,,,,
1,3,2,3,NN,sound,22430,,,,,,,,,,,,,,,1.0,
1,3,2,4,IN,of,16459,,,,,,,,,,,,,,,,
1,3,2,5,DT,the,24127,,,,,,,,,,,,,,,,
1,3,2,6,JJ,inquisitorial,12720,,,,,,,,,,,,,,,,
1,3,2,7,NNS,voices,26350,,,,,,,,,,,,,,,,
1,3,2,8,VBD,seemed,21275,,,,,,,,,,,,,,,,
1,3,2,9,VBN,merged,15106,,,,,,,,,,,,,,,,
1,3,2,10,IN,in,12267,,,,,,,,,,,,,,,,
1,3,2,11,CD,one,16542,,,,,,,,,,,,,,,,
1,3,2,12,NN,dreamy,7444,,,,,,,,,,,,,,1.0,,
1,3,2,13,NN,indeterminate,12433,,,,,,,,,,,1.0,0.0,-1.0,-0.5,-1.0,
1,3,2,14,NN,hum,11818,,,,,,,,,,,1.0,0.0,-1.0,,,
1,3,3,0,PRP,it,13157,,,,,,,,,,,,,,,,
1,3,3,1,VBD,conveyed,5217,,,,,,,,,,,,,,,,
1,3,3,2,TO,to,24470,,,,,,,,,,,,,,,,
1,3,3,3,PRP$,my,15843,,,,,,,,,,,,,,,,
1,3,3,4,NN,soul,22426,,,,,,,,,,,,,,,,
1,3,3,5,DT,the,24127,,,,,,,,,,,,,,,,
1,3,3,6,NN,idea,11959,,,,,,,,,,,,,,,,
1,3,3,7,IN,of,16459,,,,,,,,,,,,,,,,
