chap_num,para_num,sent_num,token_num,pos,term_str,term_id,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,bing_negative,bing_positive,bing_sentiment,syu_sentiment,gi_sentiment,nrc_polarity
1,0,0,0,DT,the,24127,,,,,,,,,,,,,,,,
1,0,0,1,NNP,masque,14836,,,,,,,,,,,,,,,,
1,0,0,2,IN,of,16459,,,,,,,,,,,,,,,,
1,0,0,3,NNP,the,24127,,,,,,,,,,,,,,,,
1,0,0,4,NNP,red,19550,,,,,,,,,,,,,,,,
1,0,0,5,NNP,death,6040,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,-0.75,-1.0,-1.0
1,1,0,0,DT,the,24127,,,,,,,,,,,,,,,,
1,1,0,1,NNP,red,19550,,,,,,,,,,,,,,,,
1,1,0,2,NNP,death,6040,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,-0.75,-1.0,-1.0
1,1,0,3,VBD,had,11006,,,,,,,,,,,,,,,,
1,1,0,4,RB,long,14283,,,,,,,,,,,,,,,,
1,1,0,5,VBN,devastated,6589,,,,,,,,,,,1.0,0.0,-1.0,-0.5,,
1,1,0,6,DT,the,24127,,,,,,,,,,,,,,,,
1,1,0,7,NN,country,5422,,,,,,,,,,,,,,,,
1,1,1,0,DT,no,16135,,,,,,,,,,,,,,,,
1,1,1,1,NN,pestilence,17586,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,-1.0,,-1.0
1,1,1,2,VBD,had,11006,,,,,,,,,,,,,,,,
1,1,1,3,RB,ever,8503,,,,,,,,,,,,,,,,
1,1,1,4,VBN,been,2076,,,,,,,,,,,,,,,,
1,1,1,5,RB,so,22241,,,,,,,,,,,,,,,,
1,1,1,6,JJ,fatal,9078,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,-0.5,-1.0,-1.0
1,1,1,7,CC,or,16624,,,,,,,,,,,,,,,,
1,1,1,8,RB,so,22241,,,,,,,,,,,,,,,,
1,1,1,9,JJ,hideous,11496,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,-0.75,-1.0,-1.0
1,1,2,0,NN,blood,2546,,,,,,,,,,,,,,,,
1,1,2,1,VBD,was,26573,,,,,,,,,,,,,,,,
1,1,2,2,PRP$,its,13166,,,,,,,,,,,,,,,,
1,1,2,3,NNP,avatar,1644,,,,,,,,,,,,,,,,
1,1,2,4,CC,and,862,,,,,,,,,,,,,,,,
1,1,2,5,PRP$,its,13166,,,,,,,,,,,,,,,,
1,1,2,6,NN,seal,21174,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,1.0
1,1,2,9,DT,the,24127,,,,,,,,,,,,,,,,
1,1,2,10,NN,redness,19567,,,,,,,,,,,,,,,,
1,1,2,11,CC,and,862,,,,,,,,,,,,,,,,
1,1,2,12,DT,the,24127,,,,,,,,,,,,,,,,
1,1,2,13,NN,horror,11713,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,,,-1.0,-1.0,-1.0
1,1,2,14,IN,of,16459,,,,,,,,,,,,,,,,
1,1,2,15,NN,blood,2546,,,,,,,,,,,,,,,,
1,1,3,0,EX,there,24157,,,,,,,,,,,,,,,,
1,1,3,1,VBD,were,26736,,,,,,,,,,,,,,,,
1,1,3,2,JJ,sharp,21517,,,,,,,,,,,0.0,1.0,1.0,,,
1,1,3,3,NN,pains,16952,,,,,,,,,,,1.0,0.0,-1.0,-0.75,,
1,1,3,4,CC,and,862,,,,,,,,,,,,,,,,
1,1,3,5,JJ,sudden,23359,,,,,,,,,,,,,,,,
1,1,3,6,NN,dizziness,7214,,,,,,,,,,,,,,-0.6,,
1,1,3,7,CC,and,862,,,,,,,,,,,,,,,,
1,1,3,8,RB,then,24141,,,,,,,,,,,,,,,,
1,1,3,9,VB,profuse,18645,,,,,,,,,,,0.0,1.0,1.0,0.25,,
1,1,3,10,VBG,bleeding,2499,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,-0.5,,-1.0
1,1,3,11,IN,at,1471,,,,,,,,,,,,,,,,
1,1,3,12,DT,the,24127,,,,,,,,,,,,,,,,
1,1,3,13,NN,pores,18135,,,,,,,,,,,,,,,,
1,1,3,14,IN,with,27045,,,,,,,,,,,,,,,,
1,1,3,15,NN,dissolution,7102,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,-0.5,-1.0,-1.0
1,1,4,0,DT,the,24127,,,,,,,,,,,,,,,,
1,1,4,1,NN,scarlet,20991,,,,,,,,,,,,,,,,
1,1,4,2,VBZ,stains,22761,,,,,,,,,,,1.0,0.0,-1.0,-0.8,,
1,1,4,3,IN,upon,25875,,,,,,,,,,,,,,,,
1,1,4,4,DT,the,24127,,,,,,,,,,,,,,,,
1,1,4,5,NN,body,2646,,,,,,,,,,,,,,,,
1,1,4,6,CC,and,862,,,,,,,,,,,,,,,,
1,1,4,7,RB,especially,8417,,,,,,,,,,,,,,,,
1,1,4,8,IN,upon,25875,,,,,,,,,,,,,,,,
1,1,4,9,DT,the,24127,,,,,,,,,,,,,,,,
1,1,4,10,NN,face,8897,,,,,,,,,,,,,,,,
1,1,4,11,IN,of,16459,,,,,,,,,,,,,,,,
1,1,4,12,DT,the,24127,,,,,,,,,,,,,,,,
1,1,4,13,NN,victim,26207,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,-0.75,,-1.0
1,1,4,14,VBD,were,26736,,,,,,,,,,,,,,,,
1,1,4,15,DT,the,24127,,,,,,,,,,,,,,,,
1,1,4,16,JJS,pest,17582,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-0.5,-1.0,-1.0
1,1,4,17,NN,ban,1804,,,,,,,,,,,,,,-0.5,,
1,1,4,18,WDT,which,26811,,,,,,,,,,,,,,,,
1,1,4,19,VBD,shut,21736,,,,,,,,,,,,,,,,
1,1,4,20,PRP,him,11527,,,,,,,,,,,,,,,,
1,1,4,21,RP,out,16730,,,,,,,,,,,,,,,,
1,1,4,22,IN,from,10024,,,,,,,,,,,,,,,,
1,1,4,23,DT,the,24127,,,,,,,,,,,,,,,,
1,1,4,24,NN,aid,569,,,,,,,,,,,,,,1.0,1.0,
