chap_num,para_num,sent_num,token_num,pos,term_str,term_id,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,bing_negative,bing_positive,bing_sentiment,syu_sentiment,gi_sentiment,nrc_polarity
1,0,0,0,DT,the,24127,,,,,,,,,,,,,,,,
1,0,0,1,NNPS,murders,15775,,,,,,,,,,,,,,-1.0,,
1,0,0,2,NNP,in,12267,,,,,,,,,,,,,,,,
1,0,0,3,NNP,the,24127,,,,,,,,,,,,,,,,
1,0,0,4,NNP,rue,20631,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,-0.5,-1.0,-1.0
1,0,0,5,NNP,morgue,15591,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,-0.8,,-1.0
1,1,0,0,WP,what,26769,,,,,,,,,,,,,,,,
1,1,0,1,VBD,song,22364,,,,,,,,,,,,,,,,
1,1,0,2,DT,the,24127,,,,,,,,,,,,,,,,
1,1,0,3,NNP,syrens,23761,,,,,,,,,,,,,,,,
1,1,0,4,NN,sang,20855,,,,,,,,,,,,,,,,
1,1,0,5,CC,or,16624,,,,,,,,,,,,,,,,
1,1,0,6,WP,what,26769,,,,,,,,,,,,,,,,
1,1,0,7,NN,name,15878,,,,,,,,,,,,,,,,
1,1,0,8,NNP,achilles,212,,,,,,,,,,,,,,,,
1,1,0,9,VBD,assumed,1437,,,,,,,,,,,,,,,,
1,1,0,10,WRB,when,26787,,,,,,,,,,,,,,,,
1,1,0,11,PRP,he,11265,,,,,,,,,,,,,,,,
1,1,0,12,VBD,hid,11493,,,,,,,,,,,,,,,,
1,1,0,13,PRP,himself,11529,,,,,,,,,,,,,,,,
1,1,0,14,IN,among,803,,,,,,,,,,,,,,,,
1,1,0,15,JJ,women,27096,,,,,,,,,,,,,,,,
1,1,0,16,IN,although,743,,,,,,,,,,,,,,,,
1,1,0,17,VBG,puzzling,19012,,,,,,,,,,,1.0,0.0,-1.0,-0.25,,
1,1,0,18,NNS,questions,19087,,,,,,,,,,,,,,,,
1,1,0,19,VBP,are,1208,,,,,,,,,,,,,,,,
1,1,0,20,RB,not,16213,,,,,,,,,,,,,,,,
1,1,0,21,IN,beyond,2337,,,,,,,,,,,,,,,,
1,1,0,22,NNS,all,654,,,,,,,,,,,,,,,,
1,1,0,23,VBP,conjecture,4930,,,,,,,,,,,,,,,,
1,2,0,2,NN,sir,21900,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,0.25,,1.0
1,2,0,3,NNP,thomas,24235,,,,,,,,,,,,,,,,
1,2,0,4,NNP,browne,3038,,,,,,,,,,,,,,,,
1,3,0,0,DT,the,24127,,,,,,,,,,,,,,,,
1,3,0,1,JJ,mental,15075,,,,,,,,,,,,,,,,
1,3,0,2,NNS,features,9156,,,,,,,,,,,,,,,,
1,3,0,3,VBN,discoursed,6894,,,,,,,,,,,,,,,,
1,3,0,4,IN,of,16459,,,,,,,,,,,,,,,,
1,3,0,5,IN,as,1328,,,,,,,,,,,,,,,,
1,3,0,6,DT,the,24127,,,,,,,,,,,,,,,,
1,3,0,7,NN,analytical,842,,,,,,,,,,,,,,,,
1,3,0,8,NN,are,1208,,,,,,,,,,,,,,,,
1,3,0,9,IN,in,12267,,,,,,,,,,,,,,,,
1,3,0,10,NN,themselves,24140,,,,,,,,,,,,,,,,
1,3,0,11,CC,but,3209,,,,,,,,,,,,,,,,
1,3,0,12,JJ,little,14185,,,,,,,,,,,,,,,,
1,3,0,13,JJ,susceptible,23617,,,,,,,,,,,1.0,0.0,-1.0,-0.5,-1.0,
1,3,0,14,IN,of,16459,,,,,,,,,,,,,,,,
1,3,0,15,NN,analysis,838,,,,,,,,,,,,,,,,
1,3,1,0,PRP,we,26640,,,,,,,,,,,,,,,,
1,3,1,1,VBP,appreciate,1117,,,,,,,,,,,0.0,1.0,1.0,0.5,1.0,
1,3,1,2,PRP,them,24136,,,,,,,,,,,,,,,,
1,3,1,3,RB,only,16551,,,,,,,,,,,,,,,,
1,3,1,4,IN,in,12267,,,,,,,,,,,,,,,,
1,3,1,5,PRP$,their,24133,,,,,,,,,,,,,,,,
1,3,1,6,NN,effects,7782,,,,,,,,,,,,,,,,
1,3,2,0,PRP,we,26640,,,,,,,,,,,,,,,,
1,3,2,1,VBP,know,13584,,,,,,,,,,,,,,,1.0,
1,3,2,2,IN,of,16459,,,,,,,,,,,,,,,,
1,3,2,3,NN,them,24136,,,,,,,,,,,,,,,,
1,3,2,4,IN,among,803,,,,,,,,,,,,,,,,
1,3,2,5,JJ,other,16713,,,,,,,,,,,,,,,,
1,3,2,6,NNS,things,24203,,,,,,,,,,,,,,,,
1,3,2,7,IN,that,24121,,,,,,,,,,,,,,,,
1,3,2,8,PRP,they,24178,,,,,,,,,,,,,,,,
1,3,2,9,VBP,are,1208,,,,,,,,,,,,,,,,
1,3,2,10,RB,always,747,,,,,,,,,,,,,,,,
1,3,2,11,TO,to,24470,,,,,,,,,,,,,,,,
1,3,2,12,PRP$,their,24133,,,,,,,,,,,,,,,,
1,3,2,13,NN,possessor,18186,,,,,,,,,,,,,,,,
1,3,2,14,WRB,when,26787,,,,,,,,,,,,,,,,
1,3,2,15,RB,inordinately,12701,,,,,,,,,,,1.0,0.0,-1.0,-0.6,,
1,3,2,16,VBP,possessed,18181,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,-0.6,,-1.0
1,3,2,17,DT,a,0,,,,,,,,,,,,,,,,
1,3,2,18,NN,source,22441,,,,,,,,,,,,,,,,
1,3,2,19,IN,of,16459,,,,,,,,,,,,,,,,
1,3,2,20,DT,the,24127,,,,,,,,,,,,,,,,
1,3,2,21,JJS,liveliest,14190,,,,,,,,,,,,,,,,
1,3,2,22,NN,enjoyment,8182,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,
1,3,3,0,IN,as,1328,,,,,,,,,,,,,,,,
1,3,3,1,DT,the,24127,,,,,,,,,,,,,,,,
1,3,3,2,JJ,strong,23193,,,,,,,,,,,0.0,1.0,1.0,0.5,,
1,3,3,3,NN,man,14660,,,,,,,,,,,,,,,,
1,3,3,4,NNS,exults,8868,,,,,,,,,,,,,,,,
1,3,3,5,IN,in,12267,,,,,,,,,,,,,,,,
1,3,3,6,PRP$,his,11561,,,,,,,,,,,,,,,,
1,3,3,7,JJ,physical,17693,,,,,,,,,,,,,,,,
1,3,3,8,NN,ability,46,,,,,,,,,,,,,,0.5,1.0,
1,3,3,9,VBG,delighting,6277,,,,,,,,,,,,,,1.0,,
1,3,3,10,IN,in,12267,,,,,,,,,,,,,,,,
1,3,3,11,JJ,such,23354,,,,,,,,,,,,,,,,
1,3,3,12,NNS,exercises,8664,,,,,,,,,,,,,,,,
1,3,3,13,IN,as,1328,,,,,,,,,,,,,,,,
1,3,3,14,NN,call,3307,,,,,,,,,,,,,,,1.0,
1,3,3,15,PRP$,his,11561,,,,,,,,,,,,,,,,
1,3,3,16,NNS,muscles,15791,,,,,,,,,,,,,,,,
1,3,3,17,IN,into,12965,,,,,,,,,,,,,,,,
1,3,3,18,NNS,action,255,,,,,,,,,,,,,,0.25,,
1,3,3,19,RB,so,22241,,,,,,,,,,,,,,,,
1,3,3,20,VBZ,glories,10527,,,,,,,,,,,,,,1.0,,
1,3,3,21,DT,the,24127,,,,,,,,,,,,,,,,
1,3,3,22,NN,analyst,839,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,0.25,,1.0
1,3,3,23,IN,in,12267,,,,,,,,,,,,,,,,
1,3,3,24,DT,that,24121,,,,,,,,,,,,,,,,
1,3,3,25,JJ,moral,15569,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,0.1,1.0,1.0
1,3,3,26,NN,activity,261,,,,,,,,,,,,,,,,
1,3,3,27,WDT,which,26811,,,,,,,,,,,,,,,,
1,3,3,28,VBZ,disentangles,6942,,,,,,,,,,,,,,,,
1,3,3,29,PRP,he,11265,,,,,,,,,,,,,,,,
1,3,3,30,VBZ,derives,6445,,,,,,,,,,,,,,,,
1,3,3,31,NN,pleasure,17945,,,,,,,,,,,0.0,1.0,1.0,0.5,1.0,
1,3,3,32,IN,from,10024,,,,,,,,,,,,,,,,
1,3,3,33,RB,even,8492,,,,,,,,,,,,,,,1.0,
1,3,3,34,DT,the,24127,,,,,,,,,,,,,,,,
1,3,3,35,RBS,most,15640,,,,,,,,,,,,,,,,
1,3,3,36,JJ,trivial,24918,,,,,,,,,,,1.0,0.0,-1.0,-0.25,-1.0,
1,3,3,37,NNS,occupations,16415,,,,,,,,,,,,,,,,
1,3,3,38,VBG,bringing,2972,,,,,,,,,,,,,,,,
1,3,3,39,PRP$,his,11561,,,,,,,,,,,,,,,,
1,3,3,40,NN,talent,23813,,,,,,,,,,,0.0,1.0,1.0,0.5,1.0,
1,3,3,41,IN,into,12965,,,,,,,,,,,,,,,,
1,3,3,42,NN,play,17909,,,,,,,,,,,,,,,,
1,3,4,0,PRP,he,11265,,,,,,,,,,,,,,,,
1,3,4,1,VBZ,is,13133,,,,,,,,,,,,,,,,
1,3,4,2,NN,fond,9640,,,,,,,,,,,0.0,1.0,1.0,0.5,1.0,
1,3,4,3,IN,of,16459,,,,,,,,,,,,,,,,
1,3,4,4,NN,enigmas,8170,,,,,,,,,,,,,,,,
1,3,4,5,IN,of,16459,,,,,,,,,,,,,,,,
1,3,4,6,NN,conundrums,5184,,,,,,,,,,,,,,,,
1,3,4,7,IN,of,16459,,,,,,,,,,,,,,,,
1,3,4,8,NN,hieroglyphics,11504,,,,,,,,,,,,,,,,
1,3,4,9,VBG,exhibiting,8682,,,,,,,,,,,,,,,,
1,3,4,10,IN,in,12267,,,,,,,,,,,,,,,,
1,3,4,11,PRP$,his,11561,,,,,,,,,,,,,,,,
1,3,4,12,NNS,solutions,22340,,,,,,,,,,,,,,0.5,,
1,3,4,13,IN,of,16459,,,,,,,,,,,,,,,,
1,3,4,14,DT,each,7648,,,,,,,,,,,,,,,,
1,3,4,15,DT,a,0,,,,,,,,,,,,,,,,
1,3,4,16,NN,degree,6241,,,,,,,,,,,,,,,,
1,3,4,17,IN,of,16459,,,,,,,,,,,,,,,,
1,3,4,18,NN,acumen,270,,,,,,,,,,,0.0,1.0,1.0,0.5,,
1,3,4,19,WDT,which,26811,,,,,,,,,,,,,,,,
1,3,4,20,VBZ,appears,1077,,,,,,,,,,,,,,,,
1,3,4,21,TO,to,24470,,,,,,,,,,,,,,,,
1,3,4,22,DT,the,24127,,,,,,,,,,,,,,,,
1,3,4,23,JJ,ordinary,16650,,,,,,,,,,,,,,,,
1,3,4,24,NN,apprehension,1126,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-0.75,-1.0,-1.0
1,3,4,25,NN,præternatural,18867,,,,,,,,,,,,,,,,
1,3,5,0,PRP$,his,11561,,,,,,,,,,,,,,,,
1,3,5,1,NN,results,20149,,,,,,,,,,,,,,0.25,,
1,3,5,2,VBD,brought,3034,,,,,,,,,,,,,,,,
1,3,5,3,RB,about,71,,,,,,,,,,,,,,,,
1,3,5,4,IN,by,3237,,,,,,,,,,,,,,,,
1,3,5,5,DT,the,24127,,,,,,,,,,,,,,,,
1,3,5,6,RB,very,26168,,,,,,,,,,,,,,,,
1,3,5,7,JJ,soul,22426,,,,,,,,,,,,,,,,
1,3,5,8,CC,and,862,,,,,,,,,,,,,,,,
1,3,5,9,NN,essence,8428,,,,,,,,,,,,,,,,
1,3,5,10,IN,of,16459,,,,,,,,,,,,,,,,
1,3,5,11,NN,method,15152,,,,,,,,,,,,,,,,
1,3,5,12,NN,have,11241,,,,,,,,,,,,,,,,
1,3,5,13,IN,in,12267,,,,,,,,,,,,,,,,
1,3,5,14,NN,truth,24981,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,1.0,1.0,1.0
1,3,5,15,DT,the,24127,,,,,,,,,,,,,,,,
1,3,5,16,JJ,whole,26888,,,,,,,,,,,,,,,,
1,3,5,17,NN,air,583,,,,,,,,,,,,,,,,
1,3,5,18,IN,of,16459,,,,,,,,,,,,,,,,
1,3,5,19,NN,intuition,13003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,0.5,,1.0
1,4,0,0,DT,the,24127,,,,,,,,,,,,,,,,
1,4,0,1,NN,faculty,8924,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,1.0
1,4,0,2,IN,of,16459,,,,,,,,,,,,,,,,
1,4,0,3,NN,re,19337,,,,,,,,,,,,,,,,
1,4,0,5,NN,solution,22339,,,,,,,,,,,,,,0.5,1.0,
1,4,0,6,VBZ,is,13133,,,,,,,,,,,,,,,,
1,4,0,7,RB,possibly,18192,,,,,,,,,,,,,,,,
1,4,0,8,RB,much,15720,,,,,,,,,,,,,,,,
1,4,0,9,VBN,invigorated,13042,,,,,,,,,,,,,,,,
1,4,0,10,IN,by,3237,,,,,,,,,,,,,,,,
1,4,0,11,JJ,mathematical,14881,,,,,,,,,,,,,,,,
1,4,0,12,NN,study,23229,,,,,,,,,,,,,,0.25,-1.0,
1,4,0,13,CC,and,862,,,,,,,,,,,,,,,,
1,4,0,14,RB,especially,8417,,,,,,,,,,,,,,,,
1,4,0,15,IN,by,3237,,,,,,,,,,,,,,,,
1,4,0,16,DT,that,24121,,,,,,,,,,,,,,,,
1,4,0,17,JJS,highest,11508,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,0.0
1,4,0,18,NN,branch,2847,,,,,,,,,,,,,,,,
1,4,0,19,IN,of,16459,,,,,,,,,,,,,,,,
1,4,0,20,PRP,it,13157,,,,,,,,,,,,,,,,
1,4,0,21,VBZ,which,26811,,,,,,,,,,,,,,,,
1,4,0,22,JJ,unjustly,25579,,,,,,,,,,,1.0,0.0,-1.0,-1.0,,
1,4,0,23,CC,and,862,,,,,,,,,,,,,,,,
1,4,0,24,RB,merely,15103,,,,,,,,,,,,,,,,
1,4,0,25,IN,on,16539,,,,,,,,,,,,,,,,
1,4,0,26,NN,account,174,,,,,,,,,,,,,,,,
1,4,0,27,IN,of,16459,,,,,,,,,,,,,,,,
1,4,0,28,PRP$,its,13166,,,,,,,,,,,,,,,,
1,4,0,29,NN,retrograde,20198,,,,,,,,,,,,,,,,
1,4,0,30,NN,operations,16587,,,,,,,,,,,,,,,,
1,4,0,31,VBZ,has,11196,,,,,,,,,,,,,,,,
1,4,0,32,VBN,been,2076,,,,,,,,,,,,,,,,
1,4,0,33,VBN,called,3308,,,,,,,,,,,,,,,,
1,4,0,34,IN,as,1328,,,,,,,,,,,,,,,,
1,4,0,35,IN,if,11992,,,,,,,,,,,,,,,,
1,4,0,36,JJ,par,17047,,,,,,,,,,,,,,,,
1,4,0,37,NN,excellence,8582,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.75,1.0,1.0
1,4,0,38,NN,analysis,838,,,,,,,,,,,,,,,,
1,4,1,0,RB,yet,27331,,,,,,,,,,,,,,,,
1,4,1,1,TO,to,24470,,,,,,,,,,,,,,,,
1,4,1,2,VB,calculate,3292,,,,,,,,,,,,,,,,
1,4,1,3,VBZ,is,13133,,,,,,,,,,,,,,,,
1,4,1,4,RB,not,16213,,,,,,,,,,,,,,,,
1,4,1,5,IN,in,12267,,,,,,,,,,,,,,,,
1,4,1,6,PRP,itself,13167,,,,,,,,,,,,,,,,
1,4,1,7,TO,to,24470,,,,,,,,,,,,,,,,
1,4,1,8,VB,analyse,835,,,,,,,,,,,,,,,,
1,4,2,0,DT,a,0,,,,,,,,,,,,,,,,
1,4,2,1,NN,chess,3920,,,,,,,,,,,,,,,,
1,4,2,3,NN,player,17912,,,,,,,,,,,,,,-0.1,,
1,4,2,4,IN,for,9681,,,,,,,,,,,,,,,,
1,4,2,5,NN,example,8567,,,,,,,,,,,,,,,,
1,4,2,6,VBZ,does,7239,,,,,,,,,,,,,,,,
1,4,2,7,DT,the,24127,,,,,,,,,,,,,,,,
1,4,2,8,CD,one,16542,,,,,,,,,,,,,,,,
1,4,2,9,IN,without,27059,,,,,,,,,,,,,,,,
1,4,2,10,NN,effort,7791,,,,,,,,,,,,,,,,
1,4,2,11,IN,at,1471,,,,,,,,,,,,,,,,
1,4,2,12,DT,the,24127,,,,,,,,,,,,,,,,
1,4,2,13,NN,other,16713,,,,,,,,,,,,,,,,
1,4,3,0,PRP,it,13157,,,,,,,,,,,,,,,,
1,4,3,1,VBZ,follows,9637,,,,,,,,,,,,,,,,
1,4,3,2,IN,that,24121,,,,,,,,,,,,,,,,
1,4,3,3,DT,the,24127,,,,,,,,,,,,,,,,
1,4,3,4,NN,game,10207,,,,,,,,,,,,,,,1.0,
1,4,3,5,IN,of,16459,,,,,,,,,,,,,,,,
1,4,3,6,NN,chess,3920,,,,,,,,,,,,,,,,
1,4,3,7,IN,in,12267,,,,,,,,,,,,,,,,
