chap_num,para_num,sent_num,token_num,pos,term_str,term_id,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,bing_negative,bing_positive,bing_sentiment,syu_sentiment,gi_sentiment,nrc_polarity
1,0,0,0,NN,fall,8976,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,-0.25,-1.0,-1.0
1,0,0,1,IN,of,16459,,,,,,,,,,,,,,,,
1,0,0,2,NNP,the,24127,,,,,,,,,,,,,,,,
1,0,0,3,NNP,house,11760,,,,,,,,,,,,,,,,
1,0,0,4,IN,of,16459,,,,,,,,,,,,,,,,
1,0,0,5,NNP,usher,25928,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,1.0
1,1,0,0,NNP,son,22363,,,,,,,,,,,,,,,,
1,1,0,1,NN,coeur,4406,,,,,,,,,,,,,,,,
1,1,0,2,JJS,est,8433,,,,,,,,,,,,,,,,
1,1,0,3,JJ,un,25164,,,,,,,,,,,,,,,,
1,1,0,4,NN,luth,14484,,,,,,,,,,,,,,,,
1,1,0,5,NN,suspendu,23625,,,,,,,,,,,,,,,,
1,1,0,6,NNP,sitôt,21918,,,,,,,,,,,,,,,,
1,1,0,7,NN,quon,19134,,,,,,,,,,,,,,,,
1,1,0,8,NN,le,13844,,,,,,,,,,,,,,,,
1,1,0,9,NN,touche,24623,,,,,,,,,,,,,,,,
1,1,0,10,NN,il,12010,,,,,,,,,,,,,,,,
1,1,0,11,NN,rèsonne,20719,,,,,,,,,,,,,,,,
1,2,0,1,NNP,de,6013,,,,,,,,,,,,,,,,
1,2,0,2,NNP,béranger,3248,,,,,,,,,,,,,,,,
1,3,0,0,IN,during,7601,,,,,,,,,,,,,,,,
1,3,0,1,DT,the,24127,,,,,,,,,,,,,,,,
1,3,0,2,NN,whole,26888,,,,,,,,,,,,,,,,
1,3,0,3,IN,of,16459,,,,,,,,,,,,,,,,
1,3,0,4,DT,a,0,,,,,,,,,,,,,,,,
1,3,0,5,NN,dull,7561,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,-0.75,-1.0,-1.0
1,3,0,6,NN,dark,5947,,,,,,,,,,,1.0,0.0,-1.0,-0.6,-1.0,
1,3,0,7,CC,and,862,,,,,,,,,,,,,,,,
1,3,0,8,JJ,soundless,22434,,,,,,,,,,,,,,,,
1,3,0,9,NN,day,6001,,,,,,,,,,,,,,,,
1,3,0,10,IN,in,12267,,,,,,,,,,,,,,,,
1,3,0,11,DT,the,24127,,,,,,,,,,,,,,,,
1,3,0,12,NN,autumn,1631,,,,,,,,,,,,,,,,
