chap_num,para_num,sent_num,token_num,pos,term_str,term_id,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,bing_negative,bing_positive,bing_sentiment,syu_sentiment,gi_sentiment,nrc_polarity
1,0,0,0,NN,the,24127,,,,,,,,,,,,,,,,
1,0,0,1,NNP,project,18664,,,,,,,,,,,,,,,,
1,0,0,2,NNP,gutenberg,10974,,,,,,,,,,,,,,,,
1,0,0,3,NNP,ebook,7711,,,,,,,,,,,,,,,,
1,0,0,4,IN,of,16459,,,,,,,,,,,,,,,,
1,0,0,5,DT,the,24127,,,,,,,,,,,,,,,,
1,0,0,6,NNP,old,16509,,,,,,,,,,,,,,,,
1,0,0,7,NNP,english,8157,,,,,,,,,,,,,,,,
1,0,0,8,NNP,baron,1882,,,,,,,,,,,,,,,,
1,0,0,9,IN,by,3237,,,,,,,,,,,,,,,,
1,0,0,10,NNP,clara,4176,,,,,,,,,,,,,,,,
1,0,0,11,NNP,reeve,19598,,,,,,,,,,,,,,,,
1,1,0,0,DT,this,24229,,,,,,,,,,,,,,,,
1,1,0,1,NN,ebook,7711,,,,,,,,,,,,,,,,
1,1,0,2,VBZ,is,13133,,,,,,,,,,,,,,,,
1,1,0,3,IN,for,9681,,,,,,,,,,,,,,,,
1,1,0,4,DT,the,24127,,,,,,,,,,,,,,,,
1,1,0,5,NN,use,25918,,,,,,,,,,,,,,,,
1,1,0,6,IN,of,16459,,,,,,,,,,,,,,,,
1,1,0,7,NN,anyone,1013,,,,,,,,,,,,,,,,
1,1,0,8,RB,anywhere,1017,,,,,,,,,,,,,,,,
1,1,0,9,IN,at,1471,,,,,,,,,,,,,,,,
1,1,0,10,DT,no,16135,,,,,,,,,,,,,,,,
1,1,0,11,NN,cost,5356,,,,,,,,,,,,,,,-1.0,
1,1,0,12,CC,and,862,,,,,,,,,,,,,,,,
1,1,0,13,IN,with,27045,,,,,,,,,,,,,,,,
1,1,0,14,RB,almost,704,,,,,,,,,,,,,,,,
1,1,0,15,DT,no,16135,,,,,,,,,,,,,,,,
1,1,0,16,NNS,restrictions,20144,,,,,,,,,,,,,,,,
