chap_num,para_num,sent_num,token_num,pos,term_str,term_id,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,bing_negative,bing_positive,bing_sentiment,syu_sentiment,gi_sentiment,nrc_polarity
29,0,0,0,NNP,to,24470,,,,,,,,,,,,,,,,
29,0,0,1,NNP,mrs,15717,,,,,,,,,,,,,,,,
29,0,0,2,NNP,saville,20926,,,,,,,,,,,,,,,,
29,0,0,3,NNP,england,8156,,,,,,,,,,,,,,,,
29,1,0,0,NNP,st,22732,,,,,,,,,,,,,,,,
29,1,0,1,NNP,petersburgh,17598,,,,,,,,,,,,,,,,
29,1,0,2,NNP,dec,6069,,,,,,,,,,,,,,,,
29,2,0,0,PRP,you,27350,,,,,,,,,,,,,,,,
29,2,0,1,MD,will,26950,,,,,,,,,,,,,,,,
29,2,0,2,VB,rejoice,19723,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.75,1.0,1.0
29,2,0,3,TO,to,24470,,,,,,,,,,,,,,,,
29,2,0,4,VB,hear,11294,,,,,,,,,,,,,,,,
29,2,0,5,IN,that,24121,,,,,,,,,,,,,,,,
29,2,0,6,DT,no,16135,,,,,,,,,,,,,,,,
29,2,0,7,NN,disaster,6828,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0
29,2,0,8,VBZ,has,11196,,,,,,,,,,,,,,,,
29,2,0,9,VBN,accompanied,153,,,,,,,,,,,,,,,,
29,2,0,10,DT,the,24127,,,,,,,,,,,,,,,,
29,2,0,11,NN,commencement,4555,,,,,,,,,,,,,,0.6,1.0,
29,2,0,12,IN,of,16459,,,,,,,,,,,,,,,,
29,2,0,13,DT,an,830,,,,,,,,,,,,,,,,
29,2,0,14,NN,enterprise,8258,,,,,,,,,,,,,,,,
29,2,0,15,WDT,which,26811,,,,,,,,,,,,,,,,
29,2,0,16,PRP,you,27350,,,,,,,,,,,,,,,,
29,2,0,17,VBP,have,11241,,,,,,,,,,,,,,,,
29,2,0,18,VBN,regarded,19662,,,,,,,,,,,,,,,,
29,2,0,19,IN,with,27045,,,,,,,,,,,,,,,,
29,2,0,20,JJ,such,23354,,,,,,,,,,,,,,,,
29,2,0,21,NNS,evil,8528,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,-0.75,-1.0,-1.0
29,2,0,22,NN,forebodings,9709,,,,,,,,,,,,,,,,
29,2,1,0,PRP,i,11947,,,,,,,,,,,,,,,,
29,2,1,1,VBD,arrived,1289,,,,,,,,,,,,,,,,
29,2,1,2,RB,here,11427,,,,,,,,,,,,,,,,
29,2,1,3,RB,yesterday,27327,,,,,,,,,,,,,,,,
29,2,1,4,CC,and,862,,,,,,,,,,,,,,,,
29,2,1,5,PRP$,my,15843,,,,,,,,,,,,,,,,
29,2,1,6,JJ,first,9382,,,,,,,,,,,,,,,,
29,2,1,7,NN,task,23890,,,,,,,,,,,,,,-0.25,,
29,2,1,8,VBZ,is,13133,,,,,,,,,,,,,,,,
29,2,1,9,TO,to,24470,,,,,,,,,,,,,,,,
29,2,1,10,VB,assure,1444,,,,,,,,,,,0.0,1.0,1.0,0.8,1.0,
29,2,1,11,PRP$,my,15843,,,,,,,,,,,,,,,,
29,2,1,12,JJ,dear,6033,,,,,,,,,,,,,,0.5,1.0,
29,2,1,13,NN,sister,21905,,,,,,,,,,,,,,,,
29,2,1,14,IN,of,16459,,,,,,,,,,,,,,,,
29,2,1,15,PRP$,my,15843,,,,,,,,,,,,,,,,
29,2,1,16,NN,welfare,26721,,,,,,,,,,,,,,,1.0,
29,2,1,17,CC,and,862,,,,,,,,,,,,,,,,
29,2,1,18,VBG,increasing,12385,,,,,,,,,,,,,,,,
29,2,1,19,NN,confidence,4872,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.75,1.0,1.0
29,2,1,20,IN,in,12267,,,,,,,,,,,,,,,,
29,2,1,21,DT,the,24127,,,,,,,,,,,,,,,,
29,2,1,22,NN,success,23340,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.75,1.0,1.0
29,2,1,23,IN,of,16459,,,,,,,,,,,,,,,,
29,2,1,24,PRP$,my,15843,,,,,,,,,,,,,,,,
