chap_num,para_num,sent_num,token_num,pos,term_str,term_id,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,bing_negative,bing_positive,bing_sentiment,syu_sentiment,gi_sentiment,nrc_polarity
1,1,0,0,NNP,manfred,14675,,,,,,,,,,,,,,,,
1,1,0,1,NNP,prince,18514,,,,,,,,,,,,,,0.6,,
1,1,0,2,IN,of,16459,,,,,,,,,,,,,,,,
1,1,0,3,NNP,otranto,16716,,,,,,,,,,,,,,,,
1,1,0,4,VBD,had,11006,,,,,,,,,,,,,,,,
1,1,0,5,CD,one,16542,,,,,,,,,,,,,,,,
1,1,0,6,NN,son,22363,,,,,,,,,,,,,,,,
1,1,0,7,CC,and,862,,,,,,,,,,,,,,,,
1,1,0,8,CD,one,16542,,,,,,,,,,,,,,,,
1,1,0,9,NN,daughter,5982,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,0.6,,1.0
1,1,0,10,DT,the,24127,,,,,,,,,,,,,,,,
1,1,0,11,NN,latter,13776,,,,,,,,,,,,,,,,
1,1,0,12,DT,a,0,,,,,,,,,,,,,,,,
1,1,0,13,RBS,most,15640,,,,,,,,,,,,,,,,
1,1,0,14,JJ,beautiful,2031,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.75,,1.0
1,1,0,15,NN,virgin,26293,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,0.4,,1.0
1,1,0,16,VBD,aged,511,,,,,,,,,,,,,,,,
1,1,0,17,NN,eighteen,7817,,,,,,,,,,,,,,,,
1,1,0,18,VBD,was,26573,,,,,,,,,,,,,,,,
1,1,0,19,VBN,called,3308,,,,,,,,,,,,,,,,
1,1,0,20,NNP,matilda,14886,,,,,,,,,,,,,,,,
1,1,1,0,NNP,conrad,4967,,,,,,,,,,,,,,,,
1,1,1,1,DT,the,24127,,,,,,,,,,,,,,,,
1,1,1,2,NN,son,22363,,,,,,,,,,,,,,,,
1,1,1,3,VBD,was,26573,,,,,,,,,,,,,,,,
1,1,1,4,CD,three,24287,,,,,,,,,,,,,,,,
1,1,1,5,NNS,years,27308,,,,,,,,,,,,,,,,
1,1,1,6,VBP,younger,27355,,,,,,,,,,,,,,0.25,,
1,1,1,7,DT,a,0,,,,,,,,,,,,,,,,
1,1,1,8,RB,homely,11638,,,,,,,,,,,,,,-0.8,-1.0,
1,1,1,9,JJ,youth,27364,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,0.4,,1.0
1,1,1,10,NN,sickly,21759,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,-0.5,-1.0,-1.0
1,1,1,11,CC,and,862,,,,,,,,,,,,,,,,
1,1,1,12,IN,of,16459,,,,,,,,,,,,,,,,
1,1,1,13,DT,no,16135,,,,,,,,,,,,,,,,
1,1,1,14,NN,promising,18686,,,,,,,,,,,0.0,1.0,1.0,0.75,,
1,1,1,15,NN,disposition,7051,,,,,,,,,,,,,,,,
1,1,1,16,RB,yet,27331,,,,,,,,,,,,,,,,
1,1,1,17,PRP,he,11265,,,,,,,,,,,,,,,,
1,1,1,18,VBD,was,26573,,,,,,,,,,,,,,,,
1,1,1,19,DT,the,24127,,,,,,,,,,,,,,,,
1,1,1,20,NN,darling,5957,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0
1,1,1,21,IN,of,16459,,,,,,,,,,,,,,,,
1,1,1,22,PRP$,his,11561,,,,,,,,,,,,,,,,
1,1,1,23,NN,father,9086,,,,,,,,,,,,,,,,
1,1,1,24,WP,who,26883,,,,,,,,,,,,,,,,
1,1,1,25,RB,never,16063,,,,,,,,,,,,,,,,
1,1,1,26,VBD,showed,21674,,,,,,,,,,,,,,,,
1,1,1,27,DT,any,1009,,,,,,,,,,,,,,,,
1,1,1,28,NNS,symptoms,23755,,,,,,,,,,,1.0,0.0,-1.0,-0.4,,
1,1,1,29,IN,of,16459,,,,,,,,,,,,,,,,
1,1,1,30,NN,affection,446,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1,1,1,31,TO,to,24470,,,,,,,,,,,,,,,,
1,1,1,32,NNP,matilda,14886,,,,,,,,,,,,,,,,
1,1,2,0,NNP,manfred,14675,,,,,,,,,,,,,,,,
1,1,2,1,VBD,had,11006,,,,,,,,,,,,,,,,
1,1,2,2,VBN,contracted,5143,,,,,,,,,,,,,,-0.5,,
1,1,2,3,DT,a,0,,,,,,,,,,,,,,,,
1,1,2,4,NN,marriage,14794,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,0.6,1.0,1.0
1,1,2,5,IN,for,9681,,,,,,,,,,,,,,,,
1,1,2,6,PRP$,his,11561,,,,,,,,,,,,,,,,
1,1,2,7,NN,son,22363,,,,,,,,,,,,,,,,
1,1,2,8,IN,with,27045,,,,,,,,,,,,,,,,
1,1,2,9,DT,the,24127,,,,,,,,,,,,,,,,
1,1,2,10,NNP,marquis,14791,,,,,,,,,,,,,,,,
1,1,2,11,IN,of,16459,,,,,,,,,,,,,,,,
1,1,2,12,NNP,vicenzas,26199,,,,,,,,,,,,,,,,
1,1,2,13,NN,daughter,5982,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,0.6,,1.0
1,1,2,14,NNP,isabella,13136,,,,,,,,,,,,,,,,
1,1,2,15,CC,and,862,,,,,,,,,,,,,,,,
1,1,2,16,PRP,she,21533,,,,,,,,,,,,,,,,
1,1,2,17,VBD,had,11006,,,,,,,,,,,,,,,,
1,1,2,18,RB,already,723,,,,,,,,,,,,,,,,
1,1,2,19,VBN,been,2076,,,,,,,,,,,,,,,,
1,1,2,20,VBN,delivered,6288,,,,,,,,,,,,,,,,
1,1,2,21,IN,by,3237,,,,,,,,,,,,,,,,
1,1,2,22,PRP$,her,11413,,,,,,,,,,,,,,,,
1,1,2,23,NNS,guardians,10911,,,,,,,,,,,,,,0.8,,
1,1,2,24,IN,into,12965,,,,,,,,,,,,,,,,
