term_str,bing_positive,bing_negative,bing_sentiment
2-faced,0,1,-1
2-faces,0,1,-1
a+,1,0,1
abnormal,0,1,-1
abolish,0,1,-1
abominable,0,1,-1
abominably,0,1,-1
abominate,0,1,-1
abomination,0,1,-1
abort,0,1,-1
aborted,0,1,-1
aborts,0,1,-1
abound,1,0,1
abounds,1,0,1
abrade,0,1,-1
abrasive,0,1,-1
abrupt,0,1,-1
abruptly,0,1,-1
abscond,0,1,-1
absence,0,1,-1
absent-minded,0,1,-1
absentee,0,1,-1
absurd,0,1,-1
absurdity,0,1,-1
absurdly,0,1,-1
absurdness,0,1,-1
abundance,1,0,1
abundant,1,0,1
abuse,0,1,-1
abused,0,1,-1
abuses,0,1,-1
abusive,0,1,-1
abysmal,0,1,-1
abysmally,0,1,-1
abyss,0,1,-1
accessable,1,0,1
accessible,1,0,1
accidental,0,1,-1
acclaim,1,0,1
acclaimed,1,0,1
acclamation,1,0,1
accolade,1,0,1
accolades,1,0,1
accommodative,1,0,1
accomodative,1,0,1
accomplish,1,0,1
accomplished,1,0,1
accomplishment,1,0,1
accomplishments,1,0,1
accost,0,1,-1
accurate,1,0,1
accurately,1,0,1
accursed,0,1,-1
accusation,0,1,-1
accusations,0,1,-1
accuse,0,1,-1
accuses,0,1,-1
accusing,0,1,-1
accusingly,0,1,-1
acerbate,0,1,-1
acerbic,0,1,-1
acerbically,0,1,-1
ache,0,1,-1
ached,0,1,-1
aches,0,1,-1
achey,0,1,-1
achievable,1,0,1
achievement,1,0,1
achievements,1,0,1
achievible,1,0,1
aching,0,1,-1
acrid,0,1,-1
acridly,0,1,-1
acridness,0,1,-1
acrimonious,0,1,-1
acrimoniously,0,1,-1
acrimony,0,1,-1
acumen,1,0,1
adamant,0,1,-1
adamantly,0,1,-1
adaptable,1,0,1
adaptive,1,0,1
addict,0,1,-1
addicted,0,1,-1
addicting,0,1,-1
addicts,0,1,-1
adequate,1,0,1
adjustable,1,0,1
admirable,1,0,1
admirably,1,0,1
admiration,1,0,1
admire,1,0,1
admirer,1,0,1
admiring,1,0,1
admiringly,1,0,1
admonish,0,1,-1
admonisher,0,1,-1
admonishingly,0,1,-1
admonishment,0,1,-1
admonition,0,1,-1
adorable,1,0,1
adore,1,0,1
adored,1,0,1
adorer,1,0,1
adoring,1,0,1
adoringly,1,0,1
adroit,1,0,1
adroitly,1,0,1
adulate,1,0,1
adulation,1,0,1
adulatory,1,0,1
adulterate,0,1,-1
adulterated,0,1,-1
adulteration,0,1,-1
adulterier,0,1,-1
advanced,1,0,1
advantage,1,0,1
advantageous,1,0,1
advantageously,1,0,1
advantages,1,0,1
adventuresome,1,0,1
adventurous,1,0,1
adversarial,0,1,-1
adversary,0,1,-1
adverse,0,1,-1
adversity,0,1,-1
advocate,1,0,1
advocated,1,0,1
advocates,1,0,1
affability,1,0,1
affable,1,0,1
affably,1,0,1
affectation,1,0,1
affection,1,0,1
affectionate,1,0,1
affinity,1,0,1
affirm,1,0,1
affirmation,1,0,1
affirmative,1,0,1
afflict,0,1,-1
affliction,0,1,-1
afflictive,0,1,-1
affluence,1,0,1
affluent,1,0,1
afford,1,0,1
affordable,1,0,1
affordably,1,0,1
affront,0,1,-1
afordable,1,0,1
afraid,0,1,-1
aggravate,0,1,-1
aggravating,0,1,-1
aggravation,0,1,-1
aggression,0,1,-1
aggressive,0,1,-1
aggressiveness,0,1,-1
aggressor,0,1,-1
aggrieve,0,1,-1
aggrieved,0,1,-1
aggrivation,0,1,-1
aghast,0,1,-1
agile,1,0,1
agilely,1,0,1
agility,1,0,1
agonies,0,1,-1
agonize,0,1,-1
agonizing,0,1,-1
agonizingly,0,1,-1
agony,0,1,-1
agreeable,1,0,1
agreeableness,1,0,1
agreeably,1,0,1
aground,0,1,-1
ail,0,1,-1
ailing,0,1,-1
ailment,0,1,-1
aimless,0,1,-1
alarm,0,1,-1
alarmed,0,1,-1
alarming,0,1,-1
alarmingly,0,1,-1
alienate,0,1,-1
alienated,0,1,-1
alienation,0,1,-1
all-around,1,0,1
allegation,0,1,-1
allegations,0,1,-1
allege,0,1,-1
allergic,0,1,-1
allergies,0,1,-1
allergy,0,1,-1
alluring,1,0,1
alluringly,1,0,1
aloof,0,1,-1
altercation,0,1,-1
altruistic,1,0,1
altruistically,1,0,1
amaze,1,0,1
amazed,1,0,1
amazement,1,0,1
amazes,1,0,1
amazing,1,0,1
amazingly,1,0,1
ambiguity,0,1,-1
ambiguous,0,1,-1
ambitious,1,0,1
ambitiously,1,0,1
ambivalence,0,1,-1
ambivalent,0,1,-1
ambush,0,1,-1
ameliorate,1,0,1
amenable,1,0,1
amenity,1,0,1
amiability,1,0,1
amiabily,1,0,1
amiable,1,0,1
amicability,1,0,1
amicable,1,0,1
amicably,1,0,1
amiss,0,1,-1
amity,1,0,1
ample,1,0,1
amply,1,0,1
amputate,0,1,-1
amuse,1,0,1
amusing,1,0,1
amusingly,1,0,1
anarchism,0,1,-1
anarchist,0,1,-1
anarchistic,0,1,-1
anarchy,0,1,-1
anemic,0,1,-1
angel,1,0,1
angelic,1,0,1
anger,0,1,-1
angrily,0,1,-1
angriness,0,1,-1
angry,0,1,-1
anguish,0,1,-1
animosity,0,1,-1
annihilate,0,1,-1
annihilation,0,1,-1
annoy,0,1,-1
annoyance,0,1,-1
annoyances,0,1,-1
annoyed,0,1,-1
annoying,0,1,-1
annoyingly,0,1,-1
annoys,0,1,-1
anomalous,0,1,-1
anomaly,0,1,-1
antagonism,0,1,-1
antagonist,0,1,-1
antagonistic,0,1,-1
antagonize,0,1,-1
anti-,0,1,-1
anti-american,0,1,-1
anti-israeli,0,1,-1
anti-occupation,0,1,-1
anti-proliferation,0,1,-1
anti-semites,0,1,-1
anti-social,0,1,-1
anti-us,0,1,-1
anti-white,0,1,-1
antipathy,0,1,-1
antiquated,0,1,-1
antithetical,0,1,-1
anxieties,0,1,-1
anxiety,0,1,-1
anxious,0,1,-1
anxiously,0,1,-1
anxiousness,0,1,-1
apathetic,0,1,-1
apathetically,0,1,-1
apathy,0,1,-1
apocalypse,0,1,-1
apocalyptic,0,1,-1
apologist,0,1,-1
apologists,0,1,-1
apotheosis,1,0,1
appal,0,1,-1
appall,0,1,-1
appalled,0,1,-1
appalling,0,1,-1
appallingly,0,1,-1
appeal,1,0,1
appealing,1,0,1
applaud,1,0,1
appreciable,1,0,1
appreciate,1,0,1
appreciated,1,0,1
appreciates,1,0,1
appreciative,1,0,1
appreciatively,1,0,1
apprehension,0,1,-1
apprehensions,0,1,-1
apprehensive,0,1,-1
apprehensively,0,1,-1
appropriate,1,0,1
approval,1,0,1
approve,1,0,1
arbitrary,0,1,-1
arcane,0,1,-1
archaic,0,1,-1
ardent,1,0,1
ardently,1,0,1
ardor,1,0,1
arduous,0,1,-1
arduously,0,1,-1
argumentative,0,1,-1
arrogance,0,1,-1
arrogant,0,1,-1
arrogantly,0,1,-1
articulate,1,0,1
ashamed,0,1,-1
asinine,0,1,-1
asininely,0,1,-1
asinininity,0,1,-1
askance,0,1,-1
asperse,0,1,-1
aspersion,0,1,-1
aspersions,0,1,-1
aspiration,1,0,1
aspirations,1,0,1
aspire,1,0,1
assail,0,1,-1
assassin,0,1,-1
assassinate,0,1,-1
assault,0,1,-1
assult,0,1,-1
assurance,1,0,1
assurances,1,0,1
assure,1,0,1
assuredly,1,0,1
assuring,1,0,1
astonish,1,0,1
astonished,1,0,1
astonishing,1,0,1
astonishingly,1,0,1
astonishment,1,0,1
astound,1,0,1
astounded,1,0,1
astounding,1,0,1
astoundingly,1,0,1
astray,0,1,-1
astutely,1,0,1
asunder,0,1,-1
atrocious,0,1,-1
atrocities,0,1,-1
atrocity,0,1,-1
atrophy,0,1,-1
attack,0,1,-1
attacks,0,1,-1
attentive,1,0,1
attraction,1,0,1
attractive,1,0,1
attractively,1,0,1
attune,1,0,1
audacious,0,1,-1
audaciously,0,1,-1
audaciousness,0,1,-1
audacity,0,1,-1
audible,1,0,1
audibly,1,0,1
audiciously,0,1,-1
auspicious,1,0,1
austere,0,1,-1
authentic,1,0,1
authoritarian,0,1,-1
authoritative,1,0,1
autocrat,0,1,-1
autocratic,0,1,-1
autonomous,1,0,1
available,1,0,1
avalanche,0,1,-1
avarice,0,1,-1
avaricious,0,1,-1
avariciously,0,1,-1
avenge,0,1,-1
aver,1,0,1
averse,0,1,-1
aversion,0,1,-1
avid,1,0,1
avidly,1,0,1
award,1,0,1
awarded,1,0,1
awards,1,0,1
awe,1,0,1
awed,1,0,1
aweful,0,1,-1
awesome,1,0,1
awesomely,1,0,1
awesomeness,1,0,1
awestruck,1,0,1
awful,0,1,-1
awfully,0,1,-1
awfulness,0,1,-1
awkward,0,1,-1
awkwardness,0,1,-1
awsome,1,0,1
ax,0,1,-1
babble,0,1,-1
back-logged,0,1,-1
back-wood,0,1,-1
back-woods,0,1,-1
backache,0,1,-1
backaches,0,1,-1
backaching,0,1,-1
backbite,0,1,-1
backbiting,0,1,-1
backbone,1,0,1
backward,0,1,-1
backwardness,0,1,-1
backwood,0,1,-1
backwoods,0,1,-1
bad,0,1,-1
badly,0,1,-1
baffle,0,1,-1
baffled,0,1,-1
bafflement,0,1,-1
baffling,0,1,-1
bait,0,1,-1
balanced,1,0,1
balk,0,1,-1
banal,0,1,-1
banalize,0,1,-1
bane,0,1,-1
banish,0,1,-1
banishment,0,1,-1
bankrupt,0,1,-1
barbarian,0,1,-1
barbaric,0,1,-1
barbarically,0,1,-1
barbarity,0,1,-1
barbarous,0,1,-1
barbarously,0,1,-1
bargain,1,0,1
barren,0,1,-1
baseless,0,1,-1
bash,0,1,-1
bashed,0,1,-1
bashful,0,1,-1
bashing,0,1,-1
bastard,0,1,-1
bastards,0,1,-1
battered,0,1,-1
battering,0,1,-1
batty,0,1,-1
bearish,0,1,-1
beastly,0,1,-1
beauteous,1,0,1
beautiful,1,0,1
beautifullly,1,0,1
beautifully,1,0,1
beautify,1,0,1
beauty,1,0,1
