term_str,bing_positive,bing_negative,bing_sentiment,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,nrc_polarity,syu_sentiment,gi_sentiment,labmt_happiness
2-faced,0.0,1.0,-1.0,,,,,,,,,,,,,,
2-faces,0.0,1.0,-1.0,,,,,,,,,,,,,,
a+,1.0,0.0,1.0,,,,,,,,,,,,,,
abnormal,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-0.5,-1.0,3.69
abolish,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-0.5,-1.0,
abominable,0.0,1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-0.5,-1.0,
abominably,0.0,1.0,-1.0,,,,,,,,,,,,-1.0,,
abominate,0.0,1.0,-1.0,,,,,,,,,,,,-1.0,,
abomination,0.0,1.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-0.5,,
abort,0.0,1.0,-1.0,,,,,,,,,,,,-0.5,,
aborted,0.0,1.0,-1.0,,,,,,,,,,,,-0.8,,
aborts,0.0,1.0,-1.0,,,,,,,,,,,,-0.6,,
abound,1.0,0.0,1.0,,,,,,,,,,,,0.25,1.0,
abounds,1.0,0.0,1.0,,,,,,,,,,,,0.25,,
abrade,0.0,1.0,-1.0,,,,,,,,,,,,,,
abrasive,0.0,1.0,-1.0,,,,,,,,,,,,-0.5,-1.0,
abrupt,0.0,1.0,-1.0,,,,,,,,,,,,-0.25,-1.0,
abruptly,0.0,1.0,-1.0,,,,,,,,,,,,-0.25,,
abscond,0.0,1.0,-1.0,,,,,,,,,,,,-1.0,-1.0,
absence,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,-0.5,-1.0,3.58
absent-minded,0.0,1.0,-1.0,,,,,,,,,,,,,-1.0,
absentee,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,-0.75,-1.0,
absurd,0.0,1.0,-1.0,,,,,,,,,,,,-0.75,-1.0,
absurdity,0.0,1.0,-1.0,,,,,,,,,,,,-0.5,-1.0,
absurdly,0.0,1.0,-1.0,,,,,,,,,,,,-0.8,,
absurdness,0.0,1.0,-1.0,,,,,,,,,,,,-0.8,,
abundance,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,1.0,
abundant,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,7.16
abuse,0.0,1.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,1.88
abused,0.0,1.0,-1.0,,,,,,,,,,,,-0.75,,1.83
abuses,0.0,1.0,-1.0,,,,,,,,,,,,-0.5,,
abusive,0.0,1.0,-1.0,,,,,,,,,,,,-0.5,,
abysmal,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,-0.5,,
abysmally,0.0,1.0,-1.0,,,,,,,,,,,,-1.0,,
abyss,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,-0.75,-1.0,4.1
