term_str,weight
aaron,0.0
abandon,0.0
abbey,0.0
abbott,0.0
abbreviated,0.0
abeja,0.0
ability,5.0
able,-1.0
abound,2.0
abounds,1.0
abrasive,-2.0
abrie,0.0
abrupt,-1.0
abruptly,-1.0
abruzzo,0.0
absence,-2.0
absolute,2.0
absolutely,7.0
abundance,2.0
abundant,5.0
abundantly,2.0
abv,4.0
acacia,5.0
accent,5.0
accented,-1.0
accenting,3.0
accents,2.0
accentuate,-3.0
accentuated,0.0
accentuates,-1.0
acceptability,0.0
acceptable,0.0
access,1.0
accessibility,0.0
accessible,0.0
accompanied,2.0
accompanies,0.0
accompaniment,-7.0
accompany,2.0
accompanying,0.0
accomplishes,-1.0
accomplishment,0.0
according,0.0
accordingly,0.0
account,0.0
accounts,0.0
accurate,0.0
accurately,-1.0
achieve,-2.0
achieved,0.0
achievement,1.0
achieves,2.0
achieving,0.0
aching,0.0
achingly,0.0
acid,-1.0
acidic,2.0
acidified,0.0
acidity,2.0
acids,2.0
acquire,0.0
acquired,0.0
acre,2.0
acres,-1.0
acrid,0.0
acrobatics,0.0
across,-1.0
act,-2.0
acting,4.0
action,2.0
active,0.0
actress,0.0
actual,-2.0
actually,2.0
adam,1.0
add,-1.0
added,5.0
addictive,3.0
addictively,0.0
adding,6.0
addition,1.0
additional,5.0
additions,1.0
address,0.0
adds,4.0
adelaida,0.0
adelsheim,0.0
adequate,-7.0
adequately,0.0
adhesive,-1.0
adjacent,0.0
admirable,-1.0
admirably,1.0
admire,2.0
adorn,0.0
adorned,2.0
advanced,0.0
advantage,-1.0
advertised,0.0
aeration,-1.0
affair,0.0
affected,0.0
affinity,-1.0
affordable,-2.0
aficionados,0.0
afloat,0.0
africa,0.0
african,0.0
afternoon,0.0
aftertaste,-4.0
afterthought,1.0
afterward,0.0
age,4.0
ageability,4.0
ageable,2.0
aged,4.0
ageing,0.0
ager,3.0
ages,0.0
ageworthiness,0.0
ageworthy,9.0
aggressive,-3.0
aggressively,-1.0
aggressiveness,0.0
agile,1.0
aging,6.0
agiorgitiko,-2.0
aglianico,0.0
ago,-4.0
agreeable,0.0
ahead,2.0
ahi,0.0
aid,0.0
aided,-2.0
aids,0.0
aim,0.0
aimed,-1.0
aims,0.0
air,-6.0
airing,-1.0
airs,0.0
airy,5.0
akin,-3.0
alain,-2.0
alamos,0.0
alba,0.0
albariño,-1.0
albeit,0.0
alcohol,-2.0
alcoholic,4.0
ale,0.0
alentejo,-1.0
alert,-1.0
alexander,-2.0
alfalfa,-2.0
alfrocheiro,0.0
alicante,2.0
aligoté,0.0
alive,2.0
alkalinity,-1.0
allen,0.0
allied,1.0
allow,-4.0
allowed,-5.0
allowing,7.0
allows,-1.0
allspice,0.0
allure,1.0
alluring,4.0
alluringly,0.0
almond,4.0
almonds,10.0
almondy,0.0
almost,3.0
aloe,0.0
alone,0.0
along,1.0
alongside,-1.0
aloof,0.0
alpine,1.0
already,10.0
alsace,-1.0
also,0.0
alta,0.0
alternative,1.0
although,-2.0
altitude,0.0
alto,0.0
altogether,0.0
alvarinho,-3.0
always,8.0
amador,0.0
amalfi,2.0
amalgam,1.0
amaro,1.0
amarone,1.0
amazing,7.0
amazingly,2.0
amber,1.0
ambitions,0.0
ambitious,-3.0
ambrosia,0.0
american,-10.0
americans,0.0
amid,-1.0
amidst,1.0
amity,0.0
ammonia,-2.0
among,8.0
amongst,0.0
amontillado,0.0
amorphous,0.0
amount,7.0
amounts,4.0
amped,0.0
amphora,-1.0
amphorae,0.0
ample,2.0
amplified,1.0
amplifies,3.0
amply,2.0
ancestor,0.0
anchor,0.0
anchored,1.0
anchors,0.0
ancient,0.0
anderson,0.0
andrew,0.0
andré,2.0
andy,0.0
angel,0.0
angeles,-1.0
angelo,0.0
angle,0.0
angles,0.0
angular,-6.0
angularity,4.0
animal,-7.0
anise,5.0
aniseed,0.0
anisette,0.0
anjou,4.0
annapolis,0.0
anne,0.0
anniversary,1.0
annotated,1.0
announce,1.0
announcement,0.0
announces,0.0
annual,4.0
anonymous,0.0
another,4.0
answer,0.0
ant,1.0
anticipated,0.0
antico,0.0
antinori,0.0
antonia,0.0
antonio,0.0
anyone,-2.0
anything,4.0
anytime,-1.0
anywhere,2.0
apart,0.0
aperitif,1.0
aplomb,0.0
apparent,-2.0
appeal,-7.0
appealing,3.0
appeals,0.0
appear,0.0
appearance,3.0
appearances,0.0
appearing,0.0
appears,-4.0
appellation,9.0
appellations,0.0
appetizer,-1.0
appetizers,0.0
appetizing,2.0
appetizingly,0.0
apple,0.0
apples,3.0
applesauce,0.0
appley,0.0
application,-3.0
applied,0.0
appreciate,0.0
appreciation,0.0
approach,-1.0
approachability,2.0
approachable,3.0
approachably,1.0
approached,0.0
approaching,0.0
appropriate,0.0
appropriately,-7.0
approximately,0.0
apricot,5.0
apricots,5.0
apt,0.0
aptly,0.0
apéritif,-5.0
aragonez,-2.0
architectural,0.0
architecture,0.0
area,0.0
areas,3.0
argentina,-1.0
argentine,1.0
argentinean,0.0
arguably,2.0
argument,0.0
arinto,-1.0
arise,0.0
arises,1.0
arista,0.0
aristocratic,2.0
armada,0.0
aroma,-1.0
aromas,-2.0
aromatic,1.0
aromatically,2.0
aromatics,-1.0
around,1.0
array,3.0
arresting,0.0
arrive,0.0
arrived,1.0
arrives,0.0
arrow,0.0
arroyo,0.0
art,-3.0
artful,0.0
artificial,-1.0
artisanal,0.0
artist,0.0
arugula,2.0
ascent,0.0
ash,-1.0
ashy,-1.0
asian,4.0
aside,0.0
ask,-1.0
asking,1.0
asparagus,0.0
aspect,3.0
aspects,-3.0
asphalt,1.0
aspirin,-1.0
assaultive,0.0
assembled,0.0
assertive,-4.0
asserts,1.0
associated,2.0
associates,0.0
assorted,0.0
assortment,0.0
assured,0.0
asti,0.0
astonishing,0.0
astonishingly,3.0
astounding,-1.0
astrales,0.0
astralis,0.0
astringency,-2.0
astringent,-6.0
astringently,0.0
atlas,1.0
atop,4.0
attack,-2.0
attains,0.0
attempt,0.0
attention,8.0
attenuated,-3.0
attraction,-1.0
attractions,0.0
attractive,-5.0
attractively,-6.0
attribute,0.0
attributes,0.0
atypical,-1.0
aube,0.0
augment,0.0
augmented,0.0
aurora,1.0
aurus,0.0
auslese,4.0
ausone,0.0
aussie,-2.0
austere,5.0
austerity,5.0
australia,3.0
australian,1.0
austria,0.0
austrian,1.0
authentic,3.0
authoritative,0.0
authority,0.0
autolysis,3.0
autolytic,1.0
autumn,-2.0
autumnal,0.0
ava,3.0
available,-3.0
average,-1.0
aviron,0.0
avoids,4.0
avola,-2.0
await,1.0
awaits,2.0
awake,0.0
awaken,0.0
awash,2.0
away,-2.0
awesome,2.0
awesomely,0.0
awfully,1.0
awhile,1.0
awkward,-9.0
awkwardly,-1.0
ayoub,0.0
babcock,1.0
baby,-1.0
bacalhôa,0.0
bacchus,0.0
back,5.0
backbone,5.0
backdrop,-2.0
backed,-2.0
background,1.0
backing,0.0
backs,1.0
backup,0.0
backyard,0.0
baco,-1.0
bacon,2.0
bacony,0.0
bad,-5.0
badly,-1.0
bag,-1.0
baga,1.0
bages,0.0
bags,0.0
baguette,-2.0
baked,4.0
baker,-1.0
baking,2.0
balance,3.0
balanced,8.0
balances,9.0
balancing,9.0
ballard,0.0
ballerina,0.0
ballpark,0.0
balm,2.0
balmy,0.0
balsam,1.0
balsamic,4.0
banana,-2.0
bananas,-1.0
band,0.0
bandage,-1.0
banfi,0.0
bang,0.0
bank,-3.0
bar,-3.0
barbara,1.0
barbaresco,0.0
barbecue,-2.0
barbecued,-2.0
barbecues,-2.0
barbera,-3.0
bardolino,-2.0
bare,0.0
barely,0.0
barest,0.0
bargain,-2.0
bark,2.0
barley,0.0
barn,0.0
barnyard,-6.0
barnyardy,0.0
barocca,0.0
barolo,7.0
barolos,0.0
baron,0.0
barossa,2.0
barrel,7.0
barrels,1.0
barrett,0.0
bartlett,-2.0
barton,0.0
bas,0.0
basarin,0.0
base,-3.0
baseball,0.0
based,4.0
basement,0.0
basic,-6.0
basically,0.0
basics,-2.0
basil,0.0
basin,-1.0
basis,0.0
basket,0.0
bass,0.0
bat,0.0
batch,0.0
bath,-1.0
bathed,0.0
battle,0.0
baxter,0.0
bay,3.0
bbq,-2.0
beach,-1.0
bead,0.0
beam,2.0
bean,3.0
beans,0.0
bear,1.0
bearing,2.0
bears,-1.0
beast,0.0
beat,0.0
beaten,-1.0
beaucaillou,0.0
beaucastel,0.0
beaujolais,-2.0
beaune,0.0
beautiful,13.0
beautifully,13.0
beauty,5.0
became,0.0
beckmeyer,0.0
beckon,1.0
beckstoffer,0.0
become,6.0
becomes,-5.0
becoming,0.0
bed,-4.0
bedded,0.0
bee,0.0
beef,4.0
beefy,2.0
beer,1.0
beerenauslese,3.0
beery,-2.0
beeslaar,0.0
beeswax,7.0
beet,3.0
beetroot,0.0
beets,1.0
befits,5.0
beg,0.0
began,-2.0
begging,-3.0
begin,5.0
begining,0.0
beginning,5.0
beginnings,0.0
begins,1.0
begs,1.0
beguiling,1.0
begun,0.0
behaved,0.0
behind,4.0
belie,1.0
belief,0.0
belies,0.0
believe,0.0
believed,1.0
believes,1.0
bell,-8.0
bella,0.0
belle,0.0
belonged,2.0
belonging,0.0
belongs,0.0
beloved,1.0
ben,0.0
bench,1.0
benchmark,2.0
bend,1.0
beneath,3.0
benefit,0.0
benefited,0.0
benefits,1.0
benefitted,0.0
benjamin,0.0
bentrock,0.0
bergamot,5.0
bergström,0.0
bernard,0.0
berried,0.0
berries,3.0
berry,-1.0
bertani,0.0
beside,1.0
besides,0.0
best,8.0
bet,-1.0
betrays,0.0
better,3.0
betz,0.0
beverage,0.0
beyond,2.0
bianco,-1.0
bibiana,0.0
bien,1.0
big,0.0
bigger,6.0
biggest,0.0
bigtime,0.0
bill,2.0
billing,0.0
billowy,2.0
billy,1.0
bing,4.0
biodynamic,3.0
biodynamically,2.0
biondi,1.0
bird,-1.0
birthday,0.0
biscotti,0.0
biscuit,4.0
bishop,0.0
bistro,0.0
bit,-8.0
bite,2.0
bites,0.0
biting,-3.0
bits,1.0
bitter,-6.0
bitterly,-1.0
bitterness,-6.0
bittersweet,-6.0
bizarre,-1.0
black,4.0
blackberries,2.0
blackberry,6.0
blackcurrant,2.0
blackcurrants,0.0
blackened,2.0
blackness,0.0
blacks,0.0
blanc,-1.0
blanca,0.0
blanched,0.0
blanchot,0.0
blanco,0.0
blancs,7.0
bland,-6.0
blandness,0.0
blanket,2.0
blanketed,-1.0
blast,-2.0
blasting,0.0
blasts,2.0
blatant,0.0
blaufränkisch,3.0
blazing,3.0
blend,1.0
blended,-1.0
blender,-1.0
blending,0.0
blends,0.0
blessed,1.0
bleue,0.0
blew,-2.0
