term_id,term_str,n,f,stem,sw,go
0,000,31,3.993183249755578e-05,000,True,False
1,01,2,2.576247257906825e-06,01,True,False
2,03,7,9.016865402673887e-06,03,True,False
3,04,17,2.1898101692208012e-05,04,True,False
4,04s,1,1.2881236289534124e-06,04,True,False
5,05,22,2.8338719836975074e-05,05,True,False
6,06,18,2.3186225321161422e-05,06,True,False
7,064,1,1.2881236289534124e-06,064,True,False
8,07,17,2.1898101692208012e-05,07,True,False
9,08,9,1.1593112660580711e-05,08,True,False
10,080,1,1.2881236289534124e-06,080,True,False
11,09,14,1.8033730805347774e-05,09,True,False
12,093,1,1.2881236289534124e-06,093,True,False
13,1,55,7.084679959243768e-05,1,True,False
14,10,311,0.00040060644860451125,10,True,False
15,100,310,0.00039931832497555787,100,True,False
16,100th,1,1.2881236289534124e-06,100th,True,False
17,101,2,2.576247257906825e-06,101,True,False
18,106,1,1.2881236289534124e-06,106,True,False
19,108,1,1.2881236289534124e-06,108,True,False
20,10th,2,2.576247257906825e-06,10th,True,False
21,11,22,2.8338719836975074e-05,11,True,False
22,110,2,2.576247257906825e-06,110,True,False
23,111,1,1.2881236289534124e-06,111,True,False
24,115,4,5.15249451581365e-06,115,True,False
25,12,69,8.888053039778546e-05,12,True,False
26,120,1,1.2881236289534124e-06,120,True,False
27,122,1,1.2881236289534124e-06,122,True,False
28,1252,1,1.2881236289534124e-06,1252,True,False
29,126,1,1.2881236289534124e-06,126,True,False
30,13,27,3.4779337981742135e-05,13,True,False
31,130,1,1.2881236289534124e-06,130,True,False
32,132,1,1.2881236289534124e-06,132,True,False
33,133,1,1.2881236289534124e-06,133,True,False
34,1375,1,1.2881236289534124e-06,1375,True,False
35,13g,1,1.2881236289534124e-06,13g,True,False
36,13th,1,1.2881236289534124e-06,13th,True,False
37,14,50,6.440618144767062e-05,14,True,False
38,140,2,2.576247257906825e-06,140,True,False
39,147,1,1.2881236289534124e-06,147,True,False
40,1492,1,1.2881236289534124e-06,1492,True,False
41,15,158,0.00020352353337463916,15,True,False
42,150,3,3.864370886860238e-06,150,True,False
43,150th,1,1.2881236289534124e-06,150th,True,False
44,152,1,1.2881236289534124e-06,152,True,False
45,15th,3,3.864370886860238e-06,15th,True,False
46,16,51,6.569430507662404e-05,16,True,False
47,165,1,1.2881236289534124e-06,165,True,False
48,1667,1,1.2881236289534124e-06,1667,True,False
49,16th,5,6.440618144767062e-06,16th,True,False
50,17,22,2.8338719836975074e-05,17,True,False
51,170,1,1.2881236289534124e-06,170,True,False
52,171,1,1.2881236289534124e-06,171,True,False
53,17th,3,3.864370886860238e-06,17th,True,False
54,18,42,5.410119241604332e-05,18,True,False
55,180,1,1.2881236289534124e-06,180,True,False
56,1800,1,1.2881236289534124e-06,1800,True,False
57,1800s,1,1.2881236289534124e-06,1800,True,False
58,1811,1,1.2881236289534124e-06,1811,True,False
59,1847,1,1.2881236289534124e-06,1847,True,False
60,1850s,1,1.2881236289534124e-06,1850,True,False
61,1853,1,1.2881236289534124e-06,1853,True,False
62,1862,1,1.2881236289534124e-06,1862,True,False
63,1864,1,1.2881236289534124e-06,1864,True,False
64,1869,1,1.2881236289534124e-06,1869,True,False
65,1877,1,1.2881236289534124e-06,1877,True,False
66,1881,1,1.2881236289534124e-06,1881,True,False
67,1889,1,1.2881236289534124e-06,1889,True,False
68,1892,1,1.2881236289534124e-06,1892,True,False
69,1894,1,1.2881236289534124e-06,1894,True,False
70,1895,2,2.576247257906825e-06,1895,True,False
71,189g,1,1.2881236289534124e-06,189g,True,False
72,18th,3,3.864370886860238e-06,18th,True,False
73,19,25,3.220309072383531e-05,19,True,False
74,1900,2,2.576247257906825e-06,1900,True,False
75,1902,1,1.2881236289534124e-06,1902,True,False
76,1905,1,1.2881236289534124e-06,1905,True,False
77,1908,2,2.576247257906825e-06,1908,True,False
78,1910,2,2.576247257906825e-06,1910,True,False
79,1912,2,2.576247257906825e-06,1912,True,False
80,1920,2,2.576247257906825e-06,1920,True,False
81,1922,1,1.2881236289534124e-06,1922,True,False
82,1924,1,1.2881236289534124e-06,1924,True,False
83,1926,1,1.2881236289534124e-06,1926,True,False
84,1927,1,1.2881236289534124e-06,1927,True,False
85,1930,2,2.576247257906825e-06,1930,True,False
86,1930s,2,2.576247257906825e-06,1930,True,False
87,1933,1,1.2881236289534124e-06,1933,True,False
88,1934,1,1.2881236289534124e-06,1934,True,False
89,1935,1,1.2881236289534124e-06,1935,True,False
90,1938,1,1.2881236289534124e-06,1938,True,False
91,1939,1,1.2881236289534124e-06,1939,True,False
92,1950s,2,2.576247257906825e-06,1950,True,False
93,1952,1,1.2881236289534124e-06,1952,True,False
94,1955,2,2.576247257906825e-06,1955,True,False
95,1960,1,1.2881236289534124e-06,1960,True,False
96,1960s,4,5.15249451581365e-06,1960,True,False
97,1964,1,1.2881236289534124e-06,1964,True,False
98,1965,5,6.440618144767062e-06,1965,True,False
99,1967,6,7.728741773720475e-06,1967,True,False
100,1968,2,2.576247257906825e-06,1968,True,False
101,1969,1,1.2881236289534124e-06,1969,True,False
102,1970,3,3.864370886860238e-06,1970,True,False
103,1970s,10,1.2881236289534125e-05,1970,True,False
104,1971,1,1.2881236289534124e-06,1971,True,False
105,1972,5,6.440618144767062e-06,1972,True,False
106,1973,5,6.440618144767062e-06,1973,True,False
107,1974,1,1.2881236289534124e-06,1974,True,False
108,1975,6,7.728741773720475e-06,1975,True,False
109,1976,1,1.2881236289534124e-06,1976,True,False
110,1978,3,3.864370886860238e-06,1978,True,False
111,1980s,4,5.15249451581365e-06,1980,True,False
112,1981,3,3.864370886860238e-06,1981,True,False
113,1982,2,2.576247257906825e-06,1982,True,False
114,1983,1,1.2881236289534124e-06,1983,True,False
115,1984,2,2.576247257906825e-06,1984,True,False
116,1985,2,2.576247257906825e-06,1985,True,False
117,1986,3,3.864370886860238e-06,1986,True,False
118,1988,1,1.2881236289534124e-06,1988,True,False
119,1989,1,1.2881236289534124e-06,1989,True,False
120,1990,3,3.864370886860238e-06,1990,True,False
121,1990s,2,2.576247257906825e-06,1990,True,False
122,1992,2,2.576247257906825e-06,1992,True,False
123,1993,1,1.2881236289534124e-06,1993,True,False
124,1994,2,2.576247257906825e-06,1994,True,False
125,1995,1,1.2881236289534124e-06,1995,True,False
126,1996,4,5.15249451581365e-06,1996,True,False
127,1997,7,9.016865402673887e-06,1997,True,False
128,1998,8,1.03049890316273e-05,1998,True,False
129,1998s,1,1.2881236289534124e-06,1998,True,False
130,1999,12,1.545748354744095e-05,1999,True,False
131,1999s,1,1.2881236289534124e-06,1999,True,False
132,19th,4,5.15249451581365e-06,19th,True,False
133,2,89,0.0001146430029768537,2,True,False
134,20,145,0.0001867779261982448,20,True,False
135,200,8,1.03049890316273e-05,200,True,False
136,2000,12,1.545748354744095e-05,2000,True,False
137,2001,7,9.016865402673887e-06,2001,True,False
138,2002,18,2.3186225321161422e-05,2002,True,False
139,2003,22,2.8338719836975074e-05,2003,True,False
140,2004,33,4.250807975546261e-05,2004,True,False
141,2005,42,5.410119241604332e-05,2005,True,False
142,2006,50,6.440618144767062e-05,2006,True,False
143,2007,87,0.00011206675571894689,2007,True,False
144,2007s,2,2.576247257906825e-06,2007,True,False
145,2008,77,9.918551942941275e-05,2008,True,False
146,2009,87,0.00011206675571894689,2009,True,False
147,2009s,3,3.864370886860238e-06,2009,True,False
148,200th,1,1.2881236289534124e-06,200th,True,False
149,2010,124,0.00015972732999022313,2010,True,False
150,2010s,4,5.15249451581365e-06,2010,True,False
151,2011,98,0.00012623611563743442,2011,True,False
152,2011s,5,6.440618144767062e-06,2011,True,False
153,2012,103,0.00013267673378220148,2012,True,False
154,2012s,1,1.2881236289534124e-06,2012,True,False
155,2013,76,9.789739580045934e-05,2013,True,False
156,2013s,1,1.2881236289534124e-06,2013,True,False
157,2014,97,0.000124947992008481,2014,True,False
158,2015,183,0.00023572662409847446,2015,True,False
159,2016,230,0.0002962684346592849,2016,True,False
160,2017,361,0.00046501263005218187,2017,True,False
161,2018,593,0.0007638573119693736,2018,True,False
162,2019,320,0.000412199561265092,2019,True,False
163,2020,556,0.0007161967376980973,2020,True,False
164,2020s,15,1.9321854434301188e-05,2020,True,False
165,2021,122,0.00015715108273231632,2021,True,False
166,2022,293,0.0003774202232833498,2022,True,False
167,2023,207,0.0002666415911933564,2023,True,False
168,20230,1,1.2881236289534124e-06,20230,True,False
169,2024,169,0.00021769289329312671,2024,True,False
170,2025,309,0.00039803020134660444,2025,True,False
171,2026,107,0.00013782922829801513,2026,True,False
172,2027,96,0.0001236598683795276,2027,True,False
173,2028,97,0.000124947992008481,2028,True,False
174,2029,38,4.894869790022967e-05,2029,True,False
175,2030,265,0.0003413527616726543,2030,True,False
176,2031,39,5.0236821529183086e-05,2031,True,False
177,2032,45,5.796556330290356e-05,2032,True,False
178,2033,49,6.311805781871721e-05,2033,True,False
179,2034,26,3.349121435278872e-05,2034,True,False
180,2035,65,8.372803588197181e-05,2035,True,False
181,2036,8,1.03049890316273e-05,2036,True,False
182,2037,19,2.4474348950114836e-05,2037,True,False
183,2038,15,1.9321854434301188e-05,2038,True,False
184,2040,37,4.766057427127626e-05,2040,True,False
185,2042,1,1.2881236289534124e-06,2042,True,False
186,2043,18,2.3186225321161422e-05,2043,True,False
187,2045,4,5.15249451581365e-06,2045,True,False
188,2048,1,1.2881236289534124e-06,2048,True,False
189,2050,7,9.016865402673887e-06,2050,True,False
190,20g,1,1.2881236289534124e-06,20g,True,False
191,20th,4,5.15249451581365e-06,20th,True,False
192,21,14,1.8033730805347774e-05,21,True,False
193,21st,1,1.2881236289534124e-06,21st,True,False
194,22,27,3.4779337981742135e-05,22,True,False
195,222,1,1.2881236289534124e-06,222,True,False
196,223,1,1.2881236289534124e-06,223,True,False
197,225,1,1.2881236289534124e-06,225,True,False
198,227,1,1.2881236289534124e-06,227,True,False
199,23,9,1.1593112660580711e-05,23,True,False
200,230,1,1.2881236289534124e-06,230,True,False
201,24,29,3.735558523964896e-05,24,True,False
202,246,1,1.2881236289534124e-06,246,True,False
203,25,71,9.145677765569228e-05,25,True,False
204,250,2,2.576247257906825e-06,250,True,False
205,25th,2,2.576247257906825e-06,25th,True,False
206,26,14,1.8033730805347774e-05,26,True,False
207,266,1,1.2881236289534124e-06,266,True,False
208,27,13,1.674560717639436e-05,27,True,False
209,272,1,1.2881236289534124e-06,272,True,False
210,275,3,3.864370886860238e-06,275,True,False
211,277,1,1.2881236289534124e-06,277,True,False
212,28,20,2.576247257906825e-05,28,True,False
213,280,1,1.2881236289534124e-06,280,True,False
214,29,8,1.03049890316273e-05,29,True,False
215,2936,1,1.2881236289534124e-06,2936,True,False
216,296,1,1.2881236289534124e-06,296,True,False
217,2a,2,2.576247257906825e-06,2a,True,False
218,2l,1,1.2881236289534124e-06,2l,True,False
219,3,119,0.00015328671184545607,3,True,False
220,30,101,0.00013010048652429467,30,True,False
221,300,6,7.728741773720475e-06,300,True,False
222,305,1,1.2881236289534124e-06,305,True,False
223,30th,2,2.576247257906825e-06,30th,True,False
224,31,11,1.4169359918487537e-05,31,True,False
225,315,1,1.2881236289534124e-06,315,True,False
226,32,18,2.3186225321161422e-05,32,True,False
227,325,1,1.2881236289534124e-06,325,True,False
228,325th,1,1.2881236289534124e-06,325th,True,False
229,33,25,3.220309072383531e-05,33,True,False
230,34,11,1.4169359918487537e-05,34,True,False
231,35,30,3.8643708868602376e-05,35,True,False
232,355,1,1.2881236289534124e-06,355,True,False
233,36,9,1.1593112660580711e-05,36,True,False
234,360,1,1.2881236289534124e-06,360,True,False
235,37,13,1.674560717639436e-05,37,True,False
236,375,2,2.576247257906825e-06,375,True,False
237,38,5,6.440618144767062e-06,38,True,False
238,39,4,5.15249451581365e-06,39,True,False
239,398,1,1.2881236289534124e-06,398,True,False
240,4,133,0.00017132044265080385,4,True,False
241,40,104,0.00013396485741115489,40,True,False
242,400,6,7.728741773720475e-06,400,True,False
243,40th,2,2.576247257906825e-06,40th,True,False
244,41,7,9.016865402673887e-06,41,True,False
245,42,10,1.2881236289534125e-05,42,True,False
246,43,11,1.4169359918487537e-05,43,True,False
247,44,9,1.1593112660580711e-05,44,True,False
248,45,27,3.4779337981742135e-05,45,True,False
249,450,2,2.576247257906825e-06,450,True,False
250,45g,1,1.2881236289534124e-06,45g,True,False
251,46,2,2.576247257906825e-06,46,True,False
252,47,7,9.016865402673887e-06,47,True,False
253,48,6,7.728741773720475e-06,48,True,False
254,49,4,5.15249451581365e-06,49,True,False
255,4th,1,1.2881236289534124e-06,4th,True,False
256,5,250,0.00032203090723835313,5,True,False
257,50,123,0.00015843920636126973,50,True,False
258,500,7,9.016865402673887e-06,500,True,False
259,500l,2,2.576247257906825e-06,500l,True,False
260,50th,2,2.576247257906825e-06,50th,True,False
261,51,4,5.15249451581365e-06,51,True,False
262,52,7,9.016865402673887e-06,52,True,False
263,53,5,6.440618144767062e-06,53,True,False
264,54,9,1.1593112660580711e-05,54,True,False
265,55,18,2.3186225321161422e-05,55,True,False
266,550,1,1.2881236289534124e-06,550,True,False
267,554,1,1.2881236289534124e-06,554,True,False
268,56,10,1.2881236289534125e-05,56,True,False
269,57,7,9.016865402673887e-06,57,True,False
270,58,9,1.1593112660580711e-05,58,True,False
271,587,1,1.2881236289534124e-06,587,True,False
272,59,4,5.15249451581365e-06,59,True,False
273,5g,1,1.2881236289534124e-06,5g,True,False
